slug,name,location,starRating,isSuperior,starLabel,hotelType,classificationText,address,roomsCount,roomsLabel,phone,email,emailUrl,specializationTags,certificationTags,accessibilityTags,amenityTags,priceCategory,priceSourceType,priceNightly,priceNightlyChf,sourceCurrency,matchedText,gmName,gmTitle,gmSourceUrl,websiteUrl,mySwitzerlandUrl,detailUrl,externalPriceUrl,sr_selected,sr_selection_reason_codes,sr_selection_reason_labels,sr_selection_buckets,sr_enrichment_status,sr_source_url,sr_page_title,sr_page_description,sr_website_summary,sr_offered_languages,sr_positioning_pillars,sr_positioning_tone,sr_direct_booking_presence,sr_booking_engine_signals,sr_ota_signals,sr_booking_flow_type,sr_amenity_signals,sr_audience_signals,sr_brand_style_signals,sr_market_segment,sr_annual_room_revenue_proxy_chf,sr_occupancy_assumption,sr_scrape_error
hotel-albergo-per-la-gioventu-bellinzona,Albergo per la Gioventù Bellinzona,Bellinzona,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Via Nocca 4, 6500 Bellinzona",41,Numero di camere/appartamenti **41**,+41918251522,bellinzona@youthhostel.ch,mailto:bellinzona@youthhostel.ch,,Categoria Ostello della gioventù svizzera BASIC | ibex fairstay bronze | Swisstainable Livello III - leading,,Categoria Ostello della gioventù svizzera BASIC | ibex fairstay bronze | Swisstainable Livello III - leading,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/bellinzona/,https://www.myswitzerland.com/it/alloggi/bellinzona-youth-hostel-1/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-bellinzona,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-berna,Albergo per la Gioventù Berna,Bern,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Weihergasse 4, 3005 Bern",51,Numero di camere/appartamenti **51**,+41313261111,bern@youthhostel.ch,mailto:bern@youthhostel.ch,Design | Family-friendly,Categoria Ostello della gioventù svizzera TOP | ibex fairstay platinum | Swisstainable Livello III - leading,Valutazione su Ginto,Categoria Ostello della gioventù svizzera TOP | Design | Family-friendly | ibex fairstay platinum | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/bern/,https://www.myswitzerland.com/it/alloggi/berne-youth-hostel-1/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-berna,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-brienz,Albergo per la Gioventù Brienz,Brienz,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Strandweg 10, 3855 Brienz",13,Numero di camere/appartamenti **13**,+41339511152,brienz@youthhostel.ch,mailto:brienz@youthhostel.ch,Family-friendly | Hiking,Categoria Ostello della gioventù svizzera BASIC | ibex fairstay platinum | Swisstainable Livello III - leading,Valutazione su Ginto,Categoria Ostello della gioventù svizzera BASIC | Family-friendly | Hiking | ibex fairstay platinum | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/brienz/,https://www.myswitzerland.com/it/alloggi/brienz-youth-hostel-1/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-brienz,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-brugg,Albergo per la Gioventù Brugg,Brugg,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Im Hof 11, 5200 Brugg",8,Numero di camere/appartamenti **8**,+41564411020,brugg@youthhostel.ch,mailto:brugg@youthhostel.ch,Family-friendly,Categoria Ostello della gioventù svizzera BASIC | ibex fairstay gold | Swisstainable Livello III - leading,Valutazione su Ginto,Categoria Ostello della gioventù svizzera BASIC | Family-friendly | ibex fairstay gold | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/brugg/,https://www.myswitzerland.com/it/alloggi/brugg-youth-hostel-1/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-brugg,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-castello-di-burgdorf,Albergo per la Gioventù Castello di Burgdorf,Burgdorf,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Schlossgässli 1, 3400 Burgdorf",31,Numero di camere/appartamenti **31**,+41344261020,burgdorf@youthhostel.ch,mailto:burgdorf@youthhostel.ch,Biking | Design | Family-friendly | Hiking | Locanda | Seminars,Categoria Ostello della gioventù svizzera TOP | ibex fairstay gold | Swisstainable Livello III - leading,Valutazione su Ginto,Biking | Categoria Ostello della gioventù svizzera TOP | Design | Family-friendly | Hiking | ibex fairstay gold | Locanda | Seminars | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/burgdorf/,https://www.myswitzerland.com/it/alloggi/ostello-della-gioventu-castello-burgdorf-swiss-lodge/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-castello-di-burgdorf,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-crans-montana,Albergo per la Gioventù Crans-Montana,Crans-Montana,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Route du Zotzet 8, 3963 Crans-Montana",54,Numero di camere/appartamenti **54**,+41274813114,cransmontana@youthhostel.ch,mailto:cransmontana@youthhostel.ch,Biking | Design | Family-friendly | Hiking | Snowsports,Categoria Ostello della gioventù svizzera CLASSIC | ibex fairstay gold,Valutazione su Ginto,Biking | Categoria Ostello della gioventù svizzera CLASSIC | Design | Family-friendly | Hiking | ibex fairstay gold | Snowsports | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/crans-montana/,https://www.myswitzerland.com/it/alloggi/crans-montana-youth-hostel-1/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-crans-montana,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-davos,Albergo per la Gioventù Davos,Davos-Dorf,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Horlaubenstrasse 27, 7260 Davos-Dorf",70,Numero di camere/appartamenti **70**,+41814101920,davos@youthhostel.ch,mailto:davos@youthhostel.ch,Biking | Family-friendly | Hiking | Snowsports,Categoria Ostello della gioventù svizzera CLASSIC | ibex fairstay platinum | Swisstainable Livello III - leading,Valutazione su Ginto,Biking | Categoria Ostello della gioventù svizzera CLASSIC | Family-friendly | Hiking | ibex fairstay platinum | Snowsports | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/davos/,https://www.myswitzerland.com/it/alloggi/albergho-per-la-gioventu-davos-swiss-lodge/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-davos,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-delemont,Albergo per la Gioventù Delémont,Delémont,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Route de Bâle 185, 2800 Delémont",16,Numero di camere/appartamenti **16**,+41324222054,delemont@youthhostel.ch,mailto:delemont@youthhostel.ch,Family-friendly | Hiking,Categoria Ostello della gioventù svizzera BASIC | ibex fairstay gold | Swisstainable Livello III - leading,Valutazione su Ginto,Categoria Ostello della gioventù svizzera BASIC | Family-friendly | Hiking | ibex fairstay gold | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/fr/auberges/delemont/,https://www.myswitzerland.com/it/alloggi/delemont-youth-hostel-1/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-delemont,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-di-ginevra,Albergo per la Gioventù di Ginevra,Châtelaine,,false,,,,"Chemin Jeanne-Hersch 6, 1219 Châtelaine",61,Numero di camere/appartamenti **61**,+41223541700,geneve@youthhostel.ch,mailto:geneve@youthhostel.ch,,Categoria Ostello della gioventù svizzera TOP,,Categoria Ostello della gioventù svizzera TOP,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/jugendherberge-genf,https://www.myswitzerland.com/it/alloggi/jugendherberge-genf/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-di-ginevra,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-engelberg,Albergo per la Gioventù Engelberg,Engelberg,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Dorfstrasse 80, 6390 Engelberg",22,Numero di camere/appartamenti **22**,+41416371292,engelberg@youthhostel.ch,mailto:engelberg@youthhostel.ch,Biking | Family-friendly | Hiking | Snowsports,Categoria Ostello della gioventù svizzera CLASSIC | ibex fairstay gold | Swisstainable Livello III - leading,Valutazione su Ginto,Biking | Categoria Ostello della gioventù svizzera CLASSIC | Family-friendly | Hiking | ibex fairstay gold | Snowsports | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/engelberg/,https://www.myswitzerland.com/it/alloggi/jugendherberge-engelberg/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-engelberg,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-grindelwald,Albergo per la Gioventù Grindelwald,Grindelwald,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Geissstutzstrasse 12, 3818 Grindelwald",34,Numero di camere/appartamenti **34**,+41338531009,grindelwald@youthhostel.ch,mailto:grindelwald@youthhostel.ch,Biking | Hiking | Snowsports,Categoria Ostello della gioventù svizzera CLASSIC | ibex fairstay platinum | Swisstainable Livello III - leading,Valutazione su Ginto,Biking | Categoria Ostello della gioventù svizzera CLASSIC | Hiking | ibex fairstay platinum | Snowsports | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/grindelwald/,https://www.myswitzerland.com/it/alloggi/albergho-per-la-gioventu-grindelwald-swiss-lodge/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-grindelwald,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-interlaken,Albergo per la Gioventù Interlaken,Interlaken,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Untere Bönigstrasse 3a, 3800 Interlaken",60,Numero di camere/appartamenti **60**,+41338261090,interlaken@youthhostel.ch,mailto:interlaken@youthhostel.ch,Biking | Design | Hiking | Snowsports,Categoria Ostello della gioventù svizzera TOP | ibex fairstay platinum | Swisstainable Livello III - leading,Valutazione su Ginto,Biking | Categoria Ostello della gioventù svizzera TOP | Design | Hiking | ibex fairstay platinum | Snowsports | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/interlaken/,https://www.myswitzerland.com/it/alloggi/jugendherberge-interlaken/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-interlaken,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-kreuzlingen,Albergo per la Gioventù Kreuzlingen,Kreuzlingen,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Promenadenstrasse 7, 8280 Kreuzlingen",15,Numero di camere/appartamenti **15**,+41716882663,kreuzlingen@youthhostel.ch,mailto:kreuzlingen@youthhostel.ch,Family-friendly,Categoria Ostello della gioventù svizzera BASIC | ibex fairstay platinum | Swisstainable Livello III - leading,Valutazione su Ginto,Categoria Ostello della gioventù svizzera BASIC | Family-friendly | ibex fairstay platinum | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/auberges/kreuzlingen/,https://www.myswitzerland.com/it/alloggi/kreuzlingen-youth-hostel-1/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-kreuzlingen,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-leissigen,Albergo per la Gioventù Leissigen,Leissigen,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Oberfeldweg 9, 3706 Leissigen",15,Numero di camere/appartamenti **15**,+41338471214,leissigen@youthhostel.ch,mailto:leissigen@youthhostel.ch,Family-friendly,Categoria Ostello della gioventù svizzera BASIC | ibex fairstay gold | Swisstainable Livello III - leading,,Categoria Ostello della gioventù svizzera BASIC | Family-friendly | ibex fairstay gold | Swisstainable Livello III - leading,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/leissigen/,https://www.myswitzerland.com/it/alloggi/albergho-per-la-gioventu-leissigen-swiss-lodge/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-leissigen,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-locarno,Albergo per la Gioventù Locarno,Locarno,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Via B. Varenna 18, 6600 Locarno",77,Numero di camere/appartamenti **77**,+41917561500,locarno@youthhostel.ch,mailto:locarno@youthhostel.ch,Biking | Family-friendly | Hiking,Categoria Ostello della gioventù svizzera CLASSIC | ibex fairstay platinum | Swisstainable Livello III - leading,Valutazione su Ginto,Biking | Categoria Ostello della gioventù svizzera CLASSIC | Family-friendly | Hiking | ibex fairstay platinum | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/locarno/,https://www.myswitzerland.com/it/alloggi/albergho-per-la-gioventu-locarno-swiss-lodge/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-locarno,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-losanna-jeunotel,Albergo per la Gioventù Losanna Jeunotel,Lausanne-Vidy,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Ch. du Bois-de-Vaux 36, 1007 Lausanne-Vidy",114,Numero di camere/appartamenti **114**,+41216260222,lausanne@youthhostel.ch,mailto:lausanne@youthhostel.ch,,Categoria Ostello della gioventù svizzera TOP | ibex fairstay gold | Swisstainable Livello III - leading,Valutazione su Ginto,Categoria Ostello della gioventù svizzera TOP | ibex fairstay gold | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/lausanne-jeunotel/,https://www.myswitzerland.com/it/alloggi/lausanne-youth-hostel/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-losanna-jeunotel,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-lucerna,Albergo per la Gioventù Lucerna,Luzern,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Sedelstrasse 12, 6004 Luzern",45,Numero di camere/appartamenti **45**,+41414208800,luzern@youthhostel.ch,mailto:luzern@youthhostel.ch,Biking | Hiking,Categoria Ostello della gioventù svizzera CLASSIC | ibex fairstay gold | Swisstainable Livello III - leading,Valutazione su Ginto,Biking | Categoria Ostello della gioventù svizzera CLASSIC | Hiking | ibex fairstay gold | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/luzern/,https://www.myswitzerland.com/it/alloggi/lucerne-youth-hostel-1/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-lucerna,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-lugano-savosa,Albergo per la Gioventù Lugano-Savosa,Lugano-Savosa,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Via Cantonale 13, 6942 Lugano-Savosa",43,Numero di camere/appartamenti **43**,+41919662728,lugano@youthhostel.ch,mailto:lugano@youthhostel.ch,Biking | Family-friendly | Hiking,Categoria Ostello della gioventù svizzera CLASSIC | ibex fairstay gold | Swisstainable Livello III - leading,,Biking | Categoria Ostello della gioventù svizzera CLASSIC | Family-friendly | Hiking | ibex fairstay gold | Swisstainable Livello III - leading,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/lugano/,https://www.myswitzerland.com/it/alloggi/jugendherberge-lugano-savosa/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-lugano-savosa,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-mariastein,Albergo per la Gioventù Mariastein,Mariastein-Rotberg,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Burg Rotberg, 4115 Mariastein-Rotberg",10,Numero di camere/appartamenti **10**,+41617311049,mariastein@youthhostel.ch,mailto:mariastein@youthhostel.ch,Family-friendly | Hiking,Categoria Ostello della gioventù svizzera BASIC | ibex fairstay platinum | Swisstainable Livello III - leading,,Categoria Ostello della gioventù svizzera BASIC | Family-friendly | Hiking | ibex fairstay platinum | Swisstainable Livello III - leading,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/mariastein/,https://www.myswitzerland.com/it/alloggi/jugendherberge-mariastein/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-mariastein,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-martigny,Albergo per la Gioventù Martigny,Martigny,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Rue du Bourg 35, 1920 Martigny",14,Numero di camere/appartamenti **14**,+41277210050,martigny@youthhostel.ch,mailto:martigny@youthhostel.ch,Biking | Design | Hiking | Snowsports,Categoria Ostello della gioventù svizzera CLASSIC,Valutazione su Ginto,Biking | Categoria Ostello della gioventù svizzera CLASSIC | Design | Hiking | Snowsports | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/jugendherberge-martigny,https://www.myswitzerland.com/it/alloggi/jugendherberge-martigny/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-martigny,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-montreux,Albergo per la Gioventù Montreux,Montreux-Territet,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Passage de l'Auberge 8, 1820 Montreux-Territet",22,Numero di camere/appartamenti **22**,+41219634934,montreux@youthhostel.ch,mailto:montreux@youthhostel.ch,,Categoria Ostello della gioventù svizzera CLASSIC | ibex fairstay gold | Swisstainable Livello III - leading,Valutazione su Ginto,Categoria Ostello della gioventù svizzera CLASSIC | ibex fairstay gold | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/montreux/,https://www.myswitzerland.com/it/alloggi/montreux-youth-hostel-1/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-montreux,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-pontresina,Albergo per la Gioventù Pontresina,Pontresina,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Via da la Staziun 46, 7504 Pontresina",29,Numero di camere/appartamenti **29**,+41818427223,pontresina@youthhostel.ch,mailto:pontresina@youthhostel.ch,Biking | Family-friendly | Hiking | Snowsports,Categoria Ostello della gioventù svizzera CLASSIC | ibex fairstay platinum | Swisstainable Livello III - leading,Valutazione su Ginto,Biking | Categoria Ostello della gioventù svizzera CLASSIC | Family-friendly | Hiking | ibex fairstay platinum | Snowsports | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/pontresina/,https://www.myswitzerland.com/it/alloggi/ostello-della-gioventu-pontresina/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-pontresina,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-rapperswil-jona,Albergo per la Gioventù Rapperswil-Jona,Jona,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Hessenhofweg 10, 8645 Jona",22,Numero di camere/appartamenti **22**,+41552109927,jona@youthhostel.ch,mailto:jona@youthhostel.ch,Biking | Family-friendly | Hiking,Categoria Ostello della gioventù svizzera CLASSIC | ibex fairstay platinum | Swisstainable Livello III - leading,Valutazione su Ginto Valutazione su Ginto,Biking | Categoria Ostello della gioventù svizzera CLASSIC | Family-friendly | Hiking | ibex fairstay platinum | Swisstainable Livello III - leading | Valutazione su Ginto Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/rapperswil-jona/,https://www.myswitzerland.com/it/alloggi/rapperswil-jona-youth-hostel-1/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-rapperswil-jona,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-richterswil,Albergo per la Gioventù Richterswil,Richterswil,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Hornstrasse 5, 8805 Richterswil",29,Numero di camere/appartamenti **29**,+41447862188,richterswil@youthhostel.ch,mailto:richterswil@youthhostel.ch,Family-friendly,Categoria Ostello della gioventù svizzera CLASSIC | ibex fairstay platinum | Swisstainable Livello III - leading,Valutazione su Ginto,Categoria Ostello della gioventù svizzera CLASSIC | Family-friendly | ibex fairstay platinum | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/richterswil/,https://www.myswitzerland.com/it/alloggi/albergho-per-la-gioventu-richterswil-swiss-lodge/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-richterswil,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-romanshorn,Albergo per la Gioventù Romanshorn,Romanshorn,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Gottfried-Kellerstrasse 6, 8590 Romanshorn",16,Numero di camere/appartamenti **16**,+41583468400,romanshorn@youthhostel.ch,mailto:romanshorn@youthhostel.ch,Biking | Family-friendly,Categoria Ostello della gioventù svizzera BASIC | ibex fairstay gold | Swisstainable Livello III - leading,Valutazione su Ginto,Biking | Categoria Ostello della gioventù svizzera BASIC | Family-friendly | ibex fairstay gold | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/romanshorn/,https://www.myswitzerland.com/en/accommodations/romanshorn-youth-hostel/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-romanshorn,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-saanen-gstaad,Albergo per la Gioventù Saanen-Gstaad,Saanen,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Spitzhornweg 25, 3792 Saanen",42,Numero di camere/appartamenti **42**,+41337441343,saanen@youthhostel.ch,mailto:saanen@youthhostel.ch,Biking | Design | Family-friendly | Hiking | Snowsports,Categoria Ostello della gioventù svizzera TOP | ibex fairstay platinum | Swisstainable Livello III - leading,Valutazione su Ginto,Biking | Categoria Ostello della gioventù svizzera TOP | Design | Family-friendly | Hiking | ibex fairstay platinum | Snowsports | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/jugendherberge-saanen-gstaad,https://www.myswitzerland.com/it/alloggi/albergho-per-la-gioventu-gstaad-saanenland-swiss-lodge/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-saanen-gstaad,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-san-gallo,Albergo per la Gioventù San Gallo,St.Gallen,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Jüchstrasse 25, 9000 St.Gallen",20,Numero di camere/appartamenti **20**,+41712454777,st.gallen@youthhostel.ch,mailto:st.gallen@youthhostel.ch,Family-friendly | Hiking,Categoria Ostello della gioventù svizzera BASIC | ibex fairstay platinum | Swisstainable Livello III - leading,,Categoria Ostello della gioventù svizzera BASIC | Family-friendly | Hiking | ibex fairstay platinum | Swisstainable Livello III - leading,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/st-gallen/,https://www.myswitzerland.com/it/alloggi/st-gallen-youth-hostel-1/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-san-gallo,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-schaan-vaduz,Albergo per la Gioventù Schaan-Vaduz,Schaan,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Under Rüttigass 6, 9494 Schaan",32,Numero di camere/appartamenti **32**,4232325022,schaan@youthhostel.ch,mailto:schaan@youthhostel.ch,Biking | Design | Family-friendly | Hiking,Categoria Ostello della gioventù svizzera TOP | ibex fairstay platinum | Swisstainable Livello III - leading,Valutazione su Ginto,Biking | Categoria Ostello della gioventù svizzera TOP | Design | Family-friendly | Hiking | ibex fairstay platinum | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/schaan-vaduz/,https://www.myswitzerland.com/it/alloggi/schaan-vaduz-youth-hostel-1/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-schaan-vaduz,,false,,,,,,,,,,,,,,,,,,,,,,
hotel-albergo-per-la-gioventu-sciaffusa,Albergo per la Gioventù Sciaffusa,Schaffhausen,,false,Hostel,Hostel,Classificato come Hostel da HotellerieSuisse,"Randenstrasse 65, 8200 Schaffhausen",24,Numero di camere/appartamenti **24**,+41526258800,schaffhausen@youthhostel.ch,mailto:schaffhausen@youthhostel.ch,Family-friendly,Categoria Ostello della gioventù svizzera BASIC | ibex fairstay gold | Swisstainable Livello III - leading,Valutazione su Ginto,Categoria Ostello della gioventù svizzera BASIC | Family-friendly | ibex fairstay gold | Swisstainable Livello III - leading | Valutazione su Ginto,,unclassified,,,,,,,,https://www.youthhostel.ch/de/hostels/schaffhausen/,https://www.myswitzerland.com/it/alloggi/schaffhausen-youth-hostel-1/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-albergo-per-la-gioventu-sciaffusa,,false,,,,,,,,,,,,,,,,,,,,,,
