hotel_slug,role,replication,ps_guest_sentiment,ps_competitive_positioning,ps_guest_segmentation,ps_ai_discovery,ps_multilingual_content,ps_data_to_actions,ps_small_team_operations,top_justifiers,budget_bucket,proof_metric,price_1000,price_2000,price_3000,price_4000,price_5000,price_7500,resistance_threshold,resistance_main,realistic_price_band,replacement_anchors,deal_killer,deal_killer_canonical,proof_ranking,buy_likelihood_3000,buy_likelihood_5000
hotel-alpengold-davos,commercial_marketing,,4,4,4,3,4,5,4,clearer_weekly_decisions | better_compset_intelligence | more_direct_bookings,commercial_revenue,Direct booking room revenue (or direct booking share),5,4,3,2,2,1,3000,Unclear short-term ROI relative to ongoing cost,1000_2000,agency_spend | manual_management_time | review_reputation_tooling | compset_revenue_tooling,No reliable integration with our PMS/booking engine (or inability to demonstrate measurable direct booking uplift within agreed timeframe).,No PMS/CRM integration,60_day_pilot | pms_crm_integration | reference_luxury | reference_switzerland | roi_calculator,,
hotel-alpengold-davos,commercial_marketing,,4,5,4,3,4,5,5,more_direct_bookings | clearer_weekly_decisions | better_compset_intelligence,commercial_revenue,increase in direct booking revenue (CHF and % of total room revenue),4,5,4,3,2,1,5000,"Cost exceeds available commercial/marketing budget without strong, fast ROI proof",1000_2000,agency_spend | manual_management_time | review_reputation_tooling | compset_revenue_tooling,"No reliable PMS/CRM integration combined with non-compliant data hosting (GDPR/Swiss) — i.e., inability to guarantee secure Swiss/GDPR-compliant data handling.",No PMS/CRM integration,pms_crm_integration | reference_switzerland | 60_day_pilot | gdpr_swiss_hosting | live_dashboard_demo,,
hotel-ambassador-hotel-zuerich,gm_owner,,4,4,4,3,4,5,5,clearer_weekly_decisions | stronger_review_intelligence | better_compset_intelligence,marketing_software,increase_in_direct_bookings,5,4,3,2,1,1,4000,Recurring monthly cost too high for a 44‑room boutique property relative to measurable return,1000_2000,manual_management_time | review_reputation_tooling | agency_spend,No Swiss/GDPR-compliant data hosting or requirement to export sensitive guest data outside approved jurisdictions.,No GDPR / Swiss data hosting,60_day_pilot | live_dashboard_demo | reference_switzerland | pms_crm_integration | gdpr_swiss_hosting,,
hotel-ambassador-hotel-zuerich,gm_owner,,4,4,4,3,4,5,5,clearer_weekly_decisions | better_compset_intelligence | stronger_review_intelligence,gm_discretionary,share of direct bookings (website bookings %),4,4,3,2,1,1,3000,budget constraints for a 44-room boutique hotel,1000_2000,manual_management_time | review_reputation_tooling | agency_spend,No measurable and attributable uplift in direct bookings or revenue within the agreed pilot/proof period.,Cannot prove attribution / ROI,60_day_pilot | pms_crm_integration | live_dashboard_demo | reference_switzerland | roi_calculator,,
hotel-ambassador-hotel-zuerich,gm_owner,,4,4,4,3,3,5,5,more_direct_bookings | clearer_weekly_decisions | better_compset_intelligence,marketing_software,direct_booking_revenue,4,3,3,2,2,1,4000,monthly cost exceeds small-boutique hotel budget,1000_2000,manual_management_time | agency_spend | review_reputation_tooling,No reliable PMS / booking engine integration (no data access) or inability to demonstrate measurable impact on direct bookings,No PMS/CRM integration,60_day_pilot | pms_crm_integration | reference_switzerland | live_dashboard_demo | gdpr_swiss_hosting,,
hotel-ambassador-hotel-zuerich,commercial_marketing,,4,4,4,3,4,5,5,more_direct_bookings | clearer_weekly_decisions | better_compset_intelligence,marketing_software,direct_booking_revenue,5,4,3,2,1,1,3000,Budget constrained for a small 44-room property unless uplift is proven,1000_2000,manual_management_time | fragmented_crm_content | review_reputation_tooling,No credible PMS/booking-engine integration (cannot join booking data to actions or measure direct booking uplift),No PMS/CRM integration,pms_crm_integration | 60_day_pilot | live_dashboard_demo | reference_switzerland | roi_calculator,,
hotel-ambassador-hotel-zuerich,commercial_marketing,,4,4,4,3,4,5,5,clearer_weekly_decisions | stronger_review_intelligence | more_direct_bookings,marketing_software,direct_channel_revenue (or direct bookings count),5,4,3,2,1,1,3000,Hotel operating budget constraints for a 44-room boutique property,1000_2000,manual_management_time | agency_spend | fragmented_crm_content,No credible proof of direct bookings/revenue uplift within the agreed proof period and/or inability to integrate with our booking/PMS systems.,No PMS/CRM integration,60_day_pilot | live_dashboard_demo | roi_calculator | reference_switzerland | gdpr_swiss_hosting,,
hotel-ambassador-hotel-zuerich,commercial_marketing,,4,4,4,3,4,5,5,more_direct_bookings | clearer_weekly_decisions | avoiding_additional_hire,marketing_software,increase_in_direct_booking_revenue,4,4,3,2,2,1,3000,monthly cost exceeds current small-hotel software/marketing budget,1000_2000,agency_spend | manual_management_time | review_reputation_tooling | compset_revenue_tooling,no measurable uplift in direct bookings (or direct booking share) within the agreed proof period (≈3 months),Cannot prove attribution / ROI,60_day_pilot | live_dashboard_demo | reference_switzerland | pms_crm_integration | roi_calculator,,
hotel-ameron-swiss-mountain-hotel-davos,gm_owner,,4,4,4,3,4,5,5,clearer_weekly_decisions | better_compset_intelligence | stronger_review_intelligence,commercial_revenue,increase_in_direct_bookings_via_website,4,4,3,2,2,1,4000,budget constraints and unclear short-term ROI at higher price points,1000_2000,manual_management_time | review_reputation_tooling | compset_revenue_tooling,No reliable integration with our PMS/embedded booking engine (or inability to guarantee Swiss/GDPR-compliant hosting).,No PMS/CRM integration,pms_crm_integration | reference_switzerland | 60_day_pilot | live_dashboard_demo | roi_calculator,,
hotel-ameron-swiss-mountain-hotel-davos,gm_owner,,4,4,4,3,4,5,5,better_compset_intelligence | clearer_weekly_decisions | faster_content_production,commercial_revenue,increase_direct_bookings,4,4,3,2,2,1,4000,"operating budgets are constrained and need clear, short-term ROI",2000_3000,manual_management_time | agency_spend | review_reputation_tooling | compset_revenue_tooling,No measurable uplift in direct bookings or RevPAR within the agreed proof timeframe,Cannot prove attribution / ROI,90_day_pilot | reference_switzerland | pms_crm_integration | white_glove_onboarding | roi_calculator,,
hotel-ameron-swiss-mountain-hotel-davos,gm_owner,,4,4,4,3,4,5,5,clearer_weekly_decisions | more_direct_bookings | stronger_review_intelligence,commercial_revenue,increase in direct bookings (direct channel revenue),4,5,4,3,2,1,4000,budget constraints for recurring SaaS line items,1000_2000,manual_management_time | agency_spend | review_reputation_tooling | compset_revenue_tooling,Inability to integrate with our PMS/booking engine and provide measurable direct-booking uplift within the agreed proof window.,No PMS/CRM integration,roi_calculator | 60_day_pilot | pms_crm_integration | reference_switzerland | live_dashboard_demo,,
hotel-ameron-swiss-mountain-hotel-davos,commercial_marketing,,4,5,4,3,4,5,5,more_direct_bookings | better_compset_intelligence | clearer_weekly_decisions,marketing_software,increase in direct booking revenue (or share of total room revenue from direct channels),4,5,4,3,2,1,4000,budget constraints and need to justify spend vs existing tools/agencies,1000_2000,agency_spend | manual_management_time | review_reputation_tooling | compset_revenue_tooling,"No verifiable, trackable improvement in direct bookings or RevPAR during an agreed short pilot period (i.e., inability to prove ROI).",Cannot prove attribution / ROI,60_day_pilot | pms_crm_integration | reference_switzerland | roi_calculator | live_dashboard_demo,,
hotel-ameron-swiss-mountain-hotel-davos,commercial_marketing,,4,4,4,3,4,5,5,clearer_weekly_decisions | better_compset_intelligence | stronger_review_intelligence,marketing_software,Direct bookings (% of total room nights),5,4,3,2,2,1,4000,Ongoing operating budget constraints — hard to justify recurring high monthly spend without guaranteed uplift,1000_2000,manual_management_time | agency_spend | review_reputation_tooling,"No demonstrable, measurable uplift in direct bookings or RevPAR within the agreed proof period and inability to integrate with our PMS/booking engine.",No PMS/CRM integration,90_day_pilot | live_dashboard_demo | reference_switzerland | pms_crm_integration | roi_calculator,,
hotel-ameron-swiss-mountain-hotel-davos,commercial_marketing,,4,5,4,2,4,5,5,clearer_weekly_decisions | better_compset_intelligence | stronger_review_intelligence,marketing_software,Increase in direct bookings (share of total room nights),4,4,3,2,2,1,4000,Budget constraints vs expected incremental ROI for a single-property hotel,1000_2000,manual_management_time | review_reputation_tooling | agency_spend,Inability to integrate with our PMS/channel manager or to provide Swiss/GDPR-compliant data handling/hosting.,No PMS/CRM integration,60_day_pilot | pms_crm_integration | live_dashboard_demo | reference_switzerland | gdpr_swiss_hosting,,
hotel-ameron-zuerich-bellerive-au-lac,gm_owner,,4,5,4,3,4,5,5,more_direct_bookings | better_compset_intelligence | clearer_weekly_decisions,commercial_revenue,increase in direct booking revenue (or direct booking share),5,5,4,3,2,1,5000,Cost exceeds expected demonstrable ROI for a single-property 61-room hotel,2000_3000,agency_spend | review_reputation_tooling | compset_revenue_tooling | manual_management_time | fragmented_crm_content,No measurable uplift in direct bookings or conversion within the agreed proof period.,Cannot prove attribution / ROI,pms_crm_integration | reference_luxury | reference_switzerland | 60_day_pilot | roi_calculator,,
hotel-ameron-zuerich-bellerive-au-lac,gm_owner,,4,4,4,3,3,5,5,clearer_weekly_decisions | better_compset_intelligence | stronger_review_intelligence,commercial_revenue,increase_in_direct_booking_revenue,5,5,4,3,2,1,4000,Budget constraints for a single-property operation and need to justify recurring spend,1000_2000,agency_spend | manual_management_time | review_reputation_tooling | compset_revenue_tooling,No reliable PMS/CRS integration or inability to demonstrate measurable uplift in direct revenue within the pilot period,No PMS/CRM integration,60_day_pilot | pms_crm_integration | reference_luxury | reference_switzerland | live_dashboard_demo,,
hotel-ameron-zuerich-bellerive-au-lac,gm_owner,,4,4,4,3,4,5,5,more_direct_bookings | better_compset_intelligence | clearer_weekly_decisions,commercial_revenue,increase in direct booking revenue (CHF),4,4,3,3,2,1,5000,budget constraints and need for clear ROI on recurring software fees,1000_2000,agency_spend | manual_management_time | review_reputation_tooling | compset_revenue_tooling,No usable PMS/RMS/booking engine integration (inability to attribute revenue to the product),No PMS/CRM integration,pms_crm_integration | reference_switzerland | reference_luxury | 60_day_pilot | gdpr_swiss_hosting,,
