hotel_slug,hotel_name,location,stars,rooms,adr_chf,segment,revenue_proxy_chf,priority_score,buy_3k,buy_5k,delay_12m,price_band,primary_wedge,primary_blocker,deal_killer,deal_killer_raw,outreach_angle,gm_confidence,gm_buy_3k,gm_buy_5k,gm_wedge,gm_blocker,cm_confidence,cm_buy_3k,cm_buy_5k,cm_wedge,cm_blocker,disagreements,proof_package
hotel-ameron-zuerich-bellerive-au-lac,AMERON Zürich Bellerive au Lac,Zürich,4,61,799.51,luxury,12104741,45,42,15,65,1000_2000,"Attribution‑first 60–90 day pilot focused on shoulder nights: integrate PMS/booking engine, run direct‑only offers and compset‑driven rate experiments on low‑demand weekdays with holdout/control groups, and report net‑new direct revenue to the GM/Owner.",Attribution skepticism and corporate/IT procurement requirements (AMERON/owner group) slowing integrations and approvals.,Cannot prove attribution / ROI,No measurable uplift in direct bookings or conversion within the agreed proof period.,"Lead with an attribution-first 60-day pilot: Swiss-hosted, read-only start in week 1, then PMS/CRS integration scheduled with a fixed timeline. Define success upfront (>=8–10% direct revenue lift or +3–5pp direct share, plus 2–4 hours/week time saved) and provide a weekly GM/RM action list. Include Swiss luxury references, a GDPR/FADP data pack, and performance-pricing or monthly opt-out post-pilot to de-risk owner approval. Emphasize complementing existing brand tools (not replacing RMS) and replacing selected agency/content spend if proof hits.",medium,48,18,"Measurement-first 60-day pilot with PMS integration and Swiss-hosted data, delivering weekly prioritized actions and a defensible direct-revenue attribution model.",Attribution skepticism and corporate/IT procurement requirements (AMERON/owner group) slowing integrations and approvals.,medium,35,12,"Attribution‑first 60–90 day pilot focused on shoulder nights: integrate PMS/booking engine, run direct‑only offers and compset‑driven rate experiments on low‑demand weekdays with holdout/control groups, and report net‑new direct revenue to the GM/Owner.","Owner/finance skepticism about cannibalization and ROI, amplified by potential overlap with group tools and integration/security reviews.","deal_killer: GM=""No measurable uplift in direct bookings or conversion within the agreed proof period."" vs CM=""No reliable PMS/CRS or booking‑engine integration (or nightly feed) and/or inability to prove measurable, non‑cannibalized direct‑booking uplift within the pilot window.""",60_day_pilot | pms_crm_integration | gdpr_swiss_hosting | reference_switzerland | white_glove_onboarding
hotel-fairmont-grand-hotel-geneva,Fairmont Grand Hotel Geneva,Genève,5,412,741.65,luxury,75839942,45,40,20,70,2000_3000,"Position as a light-touch ‘data-to-actions’ layer on top of OPERA/Accor stack: certified read-only integrations, actionable compset signals and weekly RM/marketing tasks with multilingual content—measured on direct revenue/OTA shift—no RMS replacement or policy conflicts.",Accor/Fairmont centralized procurement and IT/security approvals that limit or delay integrations and may duplicate existing brand tools.,No PMS/CRM integration,Brand/Accor refusal to approve required PMS/CRS data flows or inability to demonstrate measurable direct-revenue uplift within the proof window.,"Lead with a brand-safe pilot. Offer Swiss-hosted/GDPR deployment, read-only PMS/RMS data ingestion (no parity violations), and a 60–90 day pilot with monthly opt-out. Anchor ROI to a 5% direct-revenue uplift and reduced manual spreadsheet time, not broad marketing claims. Provide a Geneva/Swiss luxury reference and confirm coexistence with Accor systems. Pre-clear a minimal-integration path (reports/SFTP if APIs are gated), outline total cost including Opera/IDeaS/API fees, and secure early involvement from DoRM + GM + Owner Rep + brand IT/security. Position budget as partial replacement of agency/reputation/compset tooling and management time rather than net-new spend.",low,40,20,"Coexist-with-Accor approach: run a brand-safe, read-only PMS/RMS data pilot that delivers a weekly commercial action list and compset alerts, with Swiss-hosted/GDPR guarantees and a clear 5% direct-revenue proof target.",Accor/Fairmont centralized procurement and IT/security approvals that limit or delay integrations and may duplicate existing brand tools.,low,40,20,"Position as a light-touch ‘data-to-actions’ layer on top of OPERA/Accor stack: certified read-only integrations, actionable compset signals and weekly RM/marketing tasks with multilingual content—measured on direct revenue/OTA shift—no RMS replacement or policy conflicts.","Accor/Fairmont corporate procurement and IT/security compliance (OPERA-approved connectors, GDPR/Swiss hosting) plus overlap with brand-mandated tools.","price_band: GM=3000_5000 vs CM=2000_3000 | deal_killer: GM=""Brand/Accor refusal to approve required PMS/CRS data flows or inability to demonstrate measurable direct-revenue uplift within the proof window."" vs CM=""No OPERA/Accor-approved PMS/CRS/CRM integration or inability to guarantee Swiss/EU-compliant data hosting and brand policy alignment.""",pms_crm_integration | gdpr_swiss_hosting | reference_luxury | reference_switzerland | white_glove_onboarding
hotel-five-zurich,FIVE Zurich,Zürich,5,149,347.19,luxury,12839711,45,39,17,67,2000_3000,"90‑day pilot delivering a weekly commercial action board tied to PMS + compset alerts, with Swiss-hosted data and a local luxury reference; success measured on direct mix and conversion, not just topline uplift.",PMS/booking engine data access/attribution plus owner/investor signoff amid potential overlap with brand-group tools.,No PMS/CRM integration,No PMS/booking engine integration or data access to enable credible attribution and ROI proof.,"Propose a two-step path: (1) a 2-week no-cost data/access audit to confirm PMS/booking engine/GA4 connectivity and map rate codes; (2) a 90-day Swiss-hosted pilot with performance pricing, white-glove onboarding, and explicit KPIs (e.g., +7% direct revenue or +3pp direct-share, time-saved on reporting). Include luxury Switzerland references, a compset intelligence demo, and an ROI calculator quantifying OTA commission savings. Offer minimal IT lift, clear DPAs, and an exit/opt-out if KPIs aren’t met. Schedule for shoulder season and commit to integrating with existing brand reporting to avoid duplication.",medium,40,20,"Lead with a Swiss-hosted, performance-linked 90-day pilot focused on compset rate alerts and a weekly, prioritized commercial action plan, with guaranteed PMS/booking-engine integration and a CFO-ready ROI model that ties uplift to reduced OTA commission and higher direct share.",PMS/booking engine data access/attribution plus owner/investor signoff amid potential overlap with brand-group tools.,medium,37,14,"90‑day pilot delivering a weekly commercial action board tied to PMS + compset alerts, with Swiss-hosted data and a local luxury reference; success measured on direct mix and conversion, not just topline uplift.","Attribution of direct uplift without a clean PMS/CRS + web analytics feed, combined with potential overlap with group tools.","deal_killer: GM=""No PMS/booking engine integration or data access to enable credible attribution and ROI proof."" vs CM=""No reliable PMS/RMS integration or inability to meet Swiss/GDPR data hosting/compliance requirements""",90_day_pilot | pms_crm_integration | gdpr_swiss_hosting | reference_switzerland | roi_calculator
hotel-geneva-marriott-hotel,Geneva Marriott Hotel,Cointrin,4,263,290.14,upper_upscale,18939353,45,42,17,70,1000_2000,"Position as a complement to Marriott’s stack: a 60–90 day, security‑light pilot (no PMS/PII in Phase 1) that delivers weekly, prioritized commercial actions from compset and review intelligence plus brand‑aligned multilingual content, with Swiss/GDPR hosting and clear ROI attribution; commit to Phase 2 PMS/CRS integration only after brand approvals and initial wins.",Marriott brand/vendor approval and data-integration restrictions creating overlap with corporate analytics and potential denial of access.,No PMS/CRM integration,No brand-compliant PMS/CRS integration path or unresolved GDPR/Swiss data-hosting and Marriott security requirements.,"Lead with a compliance-first, Marriott-friendly pilot focused on complementing (not replacing) corporate analytics. Offer a 60–90 day, Swiss/EU-hosted pilot priced in the CHF 1.5–2.0k band, with monthly opt-out and clear success metrics: +3–5% direct share on weekend/leisure and transient segments, execution of weekly action items, and measurable compset-driven pricing wins. Provide a pre-packaged vendor-approval dossier (security, GDPR, Swiss hosting, data flows), references from similar Swiss upper-upscale/airport hotels, and a clear integration plan: start with permitted CRS/BE exports and analytics tags, then progress to PMS/CRS API once brand signoff lands. Position savings vs agency/reputation/compset tools and time saved for the revenue team. Target rollout in a shoulder/low season window to ensure adoption and results.",low,38,18,"Compliance-first pilot that complements Marriott analytics and turns scattered signals into a weekly, property-level action list with measurable direct-channel gains; Swiss/EU hosting and brand-safe integration path included.",Marriott brand/vendor approval and data-integration restrictions creating overlap with corporate analytics and potential denial of access.,low,45,15,"Position as a complement to Marriott’s stack: a 60–90 day, security‑light pilot (no PMS/PII in Phase 1) that delivers weekly, prioritized commercial actions from compset and review intelligence plus brand‑aligned multilingual content, with Swiss/GDPR hosting and clear ROI attribution; commit to Phase 2 PMS/CRS integration only after brand approvals and initial wins.",Marriott corporate IT/legal/procurement gating PMS/CRS access and perceived duplication with brand tools.,"price_band: GM=1000_2000 vs CM=2000_3000 | deal_killer: GM=""No brand-compliant PMS/CRS integration path or unresolved GDPR/Swiss data-hosting and Marriott security requirements."" vs CM=""No brand‑compliant PMS/CRM integration path or denial of required data access by Marriott corporate.""",pms_crm_integration | gdpr_swiss_hosting | reference_switzerland | live_dashboard_demo | roi_calculator
hotel-grace-la-margna-st-moritz,Grace La Margna St. Moritz,St. Moritz,5,74,461.29,luxury,8472421,45,39,16,65,1000_2000,"A Swiss-hosted, 60–90 day shoulder-season pilot that starts with read-only PMS data + compset/review intelligence to deliver a weekly action plan and safe, brand-aligned multilingual content—explicitly avoiding ADR risk in peak periods.","Attribution credibility for direct‑booking uplift in a highly seasonal, low‑sample context (and ensuing Owner/CFO skepticism).",No PMS/CRM integration,No reliable PMS/CRS/CRM integration or unresolved Swiss/GDPR data‑hosting assurances.,"Lead with integration and proof: propose a Swiss‑hosted, integration‑validated 90‑day pilot over a shoulder season, with a pre‑agreed attribution plan (control periods, channel mix baselines) and weekly action playbooks. Price in the CHF 2.5–3k band, include white‑glove onboarding, and share a Swiss luxury reference. Offer success metrics tied to direct booking revenue and a clear exit if attribution fails.",medium,48,20,"Attribution‑first 90‑day pilot (shoulder‑season) with certified PMS/booking‑engine integration and Swiss/GDPR hosting, delivering weekly prioritized actions that consolidate compset + review intelligence and replace part of agency spend.","Attribution credibility for direct‑booking uplift in a highly seasonal, low‑sample context (and ensuing Owner/CFO skepticism).",medium,30,12,"A Swiss-hosted, 60–90 day shoulder-season pilot that starts with read-only PMS data + compset/review intelligence to deliver a weekly action plan and safe, brand-aligned multilingual content—explicitly avoiding ADR risk in peak periods.",Owner/finance conservatism combined with PMS/booking-engine integration and Swiss data residency/legal reviews.,"price_band: GM=2000_3000 vs CM=1000_2000 | deal_killer: GM=""No reliable PMS/CRS/CRM integration or unresolved Swiss/GDPR data‑hosting assurances."" vs CM=""No reliable PMS/booking engine integration and/or inability to provide Swiss/GDPR-compliant data hosting.""",pms_crm_integration | gdpr_swiss_hosting | reference_luxury | 90_day_pilot | reference_switzerland
hotel-hilton-geneva-hotel-conference-centre,Hilton Geneva Hotel & Conference Centre,Le Grand-Saconnex,4,496,285.25,upper_upscale,35116329,45,40,18,70,1000_2000,Demonstrate incremental value beyond Hilton tools: a weekly action engine focused on MICE/RFP conversion and Swiss-specific compset shifts that drives measurable direct and group pickup without duplicating existing brand analytics.,Hilton corporate procurement/IT security signoff and perceived overlap with brand systems (GDPR/hosting and integration approvals).,No PMS/CRM integration,"No secure, enterprise-grade PMS/CRS/RMS integration path or inability to meet Hilton corporate GDPR/security requirements (Swiss/EU hosting, DPIA, DPA).","Lead with a Swiss enterprise-proof pack (security/GDPR with Swiss/EU hosting, Hilton-compatible integration plan, references from similar Swiss conference hotels). Propose a 60–90 day pilot focused on direct-channel uplift and OTA commission savings, starting with read-only PMS/CRS + booking engine data to avoid disruption, delivering weekly decision packs for revenue and sales. Commit to clear KPIs (≥3% direct uplift or equivalent ROI), white-glove onboarding, and a corporate-friendly data processing addendum. Price the pilot conservatively (within CHF 1–2k/month), with an opt-out and a path to an enterprise CHF 3k package post-proof.",low,35,15,"Complement, don’t replace, the Hilton stack: deliver weekly, prioritized commercial actions (compset + review insights → direct-channel gains) with Swiss-hosted, brand-safe integrations and a time-boxed pilot tied to direct-booking/OTA-leakage KPIs.",Hilton corporate procurement/IT security signoff and perceived overlap with brand systems (GDPR/hosting and integration approvals).,low,45,20,Demonstrate incremental value beyond Hilton tools: a weekly action engine focused on MICE/RFP conversion and Swiss-specific compset shifts that drives measurable direct and group pickup without duplicating existing brand analytics.,"Hilton brand procurement/IT gatekeeping on integrations, data security, and overlap with existing corporate tools.","price_band: GM=1000_2000 vs CM=2000_3000 | deal_killer: GM=""No secure, enterprise-grade PMS/CRS/RMS integration path or inability to meet Hilton corporate GDPR/security requirements (Swiss/EU hosting, DPIA, DPA)."" vs CM=""No secure, compliant integration path with Hilton-approved PMS/brand systems or inability to meet GDPR/data residency requirements.""",pms_crm_integration | gdpr_swiss_hosting | 60_day_pilot | live_dashboard_demo | reference_switzerland
hotel-hotel-adula,Hotel Adula,Flims Waldhaus,4,93,356.15,upper_upscale,8220868,45,39,16,65,1000_2000,"90-day, Swiss-hosted, PMS-integrated pilot that produces weekly commercial action plans and an auditable attribution dashboard proving direct-booking uplift while consolidating review/compset/content workflows.","Attribution credibility and owner’s tolerance for recurring OPEX, compounded by PMS/CRS integration complexity and GDPR/Swiss-hosting legal review.",Cannot prove attribution / ROI,"No credible, measurable proof of incremental direct-booking revenue (inability to attribute ROI).","Propose a 90-day Swiss-hosted pilot aligned to a shoulder season, with PMS/booking-engine integration, a pre-agreed attribution framework (baseline vs. holdout), weekly action plans, and monthly opt-out. Price at the CHF 3k tier for the pilot, reference comparable Swiss alpine wellness hotels, and show a clear path to replacing existing review/compset/content spend.",high,37,12,"90-day, Swiss-hosted, PMS-integrated pilot that produces weekly commercial action plans and an auditable attribution dashboard proving direct-booking uplift while consolidating review/compset/content workflows.","Attribution credibility and owner’s tolerance for recurring OPEX, compounded by PMS/CRS integration complexity and GDPR/Swiss-hosting legal review.",medium,40,20,Weekly decision engine + compset alerts and DE/EN/FR/IT content acceleration that replaces manual spreadsheets and agency hours for a small team.,"Owner/CFO resistance to new recurring SaaS without Swiss references, GDPR/Swiss hosting assurances, and clearly attributed direct-booking uplift.","deal_killer: GM=""No credible, measurable proof of incremental direct-booking revenue (inability to attribute ROI)."" vs CM=""Lack of Swiss/GDPR-compliant data handling and hosting.""",90_day_pilot | pms_crm_integration | reference_switzerland | live_dashboard_demo | gdpr_swiss_hosting
hotel-hotel-ambassador,Hotel Ambassador,Zermatt,4,89,500,upper_upscale,11044900,45,39,16,65,1000_2000,Integration-first 60–90 day pilot (Swiss-hosted) that delivers 3–5 weekly actions and proves direct booking uplift; position as partial replacement for agency/reporting spend.,"Fear of integration causing pricing/inventory errors in high season, coupled with owner conservatism on recurring SaaS spend.",No PMS/CRM integration,No reliable PMS/booking engine integration (can’t safely access occupancy/rate/channel data).,"Propose a Swiss-hosted, staged integration: 2–3 weeks read-only validation, then a 60-day shoulder-season pilot focused on +10% direct booking revenue. Include a clear rollback plan, weekly prioritized actions for a small team, and DE/EN content support. Back it with a comparable Swiss alpine reference, performance-credit if KPIs aren’t met, and a mapped replacement of current review/compset/agency spend. Price: pilot at CHF 2k with monthly opt-out; scale to CHF 3k only after targets are hit.",medium,40,15,"Low-risk, shoulder-season 60-day pilot with staged rollout (read-only data first, then tightly controlled two-way sync), Swiss-hosted, with a Zermatt/Verbier reference and weekly action plan.","Fear of integration causing pricing/inventory errors in high season, coupled with owner conservatism on recurring SaaS spend.",medium,38,16,Integration-first 60–90 day pilot (Swiss-hosted) that delivers 3–5 weekly actions and proves direct booking uplift; position as partial replacement for agency/reporting spend.,Owner/Finance risk aversion amplified by integration/attribution uncertainty with the external booking engine and overlap with current tools/agencies.,"deal_killer: GM=""No reliable PMS/booking engine integration (can’t safely access occupancy/rate/channel data)."" vs CM=""Inability to integrate with PMS/booking engine (with Swiss/GDPR compliance) or failure to demonstrate measurable direct-booking uplift within the pilot window.""",60_day_pilot | pms_crm_integration | gdpr_swiss_hosting | reference_switzerland | roi_calculator
hotel-hotel-giardino-ascona,Hotel Giardino Ascona,Ascona,5,71,581.09,luxury,10240084,45,38,17,65,1000_2000,"Performance-linked 60–90 day pilot tied to direct-booking KPIs, with PMS/BE integration and Swiss hosting confirmed up front, plus Swiss luxury references.","Finance skepticism on attribution/ROI and overlapping tools, amplified by integration timelines and seasonality.",No PMS/CRM integration,No reliable integration with PMS/booking engine or inability to demonstrate measurable uplift in direct bookings.,"Propose a shoulder-season 60–90 day pilot with Swiss/GDPR hosting, immediate light integration (BE webhook + GA4) while scoping full PMS/CRM sync. Commit to a weekly ‘luxury-brand-safe’ action digest (DE/IT/EN) and compset alerts. Measure success on two metrics: incremental direct revenue and OTA commission savings with a clear baseline and holdout logic. Provide two Swiss luxury references, a detailed ROI calculator, and white-glove onboarding. Offer monthly opt-out at CHF ~2k with an upgrade path to 3k upon proven uplift; for 5k, include dedicated CSM + performance-linked pricing. Time kickoff post-peak to minimize disruption and ease Finance approval.",medium,40,18,"Run a 60–90 day, Swiss-hosted pilot focused on clean PMS/BE attribution to prove incremental direct revenue and OTA commission savings, paired with a weekly GM/Marketing decision digest.","Finance skepticism on attribution/ROI and overlapping tools, amplified by integration timelines and seasonality.",medium,35,15,"Performance-linked 60–90 day pilot tied to direct-booking KPIs, with PMS/BE integration and Swiss hosting confirmed up front, plus Swiss luxury references.",Owner/CFO risk aversion to new recurring SaaS spend; preference for project/agency models or guaranteed KPIs.,"deal_killer: GM=""No reliable integration with PMS/booking engine or inability to demonstrate measurable uplift in direct bookings."" vs CM=""No reliable integration with our PMS/booking engine (inability to track and attribute direct bookings).""",60_day_pilot | pms_crm_integration | reference_switzerland | reference_luxury | gdpr_swiss_hosting
hotel-hotel-maerthof,Hotel Märthof,Basel,4,68,368.38,upper_upscale,6217370,45,38,15,62,1000_2000,"Time-saving weekly decision engine tied to measurable direct-booking uplift, with vendor doing the heavy lifting (integrations + multilingual content templates).",Insufficient internal bandwidth combined with integration/IT overhead and Owner/Finance scrutiny of recurring spend.,No PMS/CRM integration,No access to PMS/booking engine data or inability to integrate for accurate direct booking measurement,"Propose a Swiss-hosted, white-glove 60–90 day pilot starting after peak Basel events. Include PMS/BE integration, a baseline + ROI calculator, and a weekly action board with vendor-produced DE/EN/FR content templates. Commit to a clear target (+8–10% direct revenue) and monthly opt-out until data is flowing. Provide a Swiss (or closely comparable luxury city) reference and a path to 1.5–2k CHF pilot pricing with upgrade to 3k CHF only if KPI is met; offer annual discount at renewal.",high,35,15,"Time-saving weekly decision engine tied to measurable direct-booking uplift, with vendor doing the heavy lifting (integrations + multilingual content templates).",Insufficient internal bandwidth combined with integration/IT overhead and Owner/Finance scrutiny of recurring spend.,high,40,15,clearer_weekly_decisions,Owner/Finance skepticism about ROI attribution and recurring SaaS; GDPR/hosting and integration reviews elongate signoff.,"deal_killer: GM=""No access to PMS/booking engine data or inability to integrate for accurate direct booking measurement"" vs CM=""No measurable uplift in direct bookings within the pilot or inability to integrate booking engine/PMS for attribution.""",60_day_pilot | pms_crm_integration | reference_switzerland | roi_calculator | gdpr_swiss_hosting
hotel-hotel-monte-rosa,Hotel Monte Rosa,Zermatt,4,41,775.06,luxury,7887166,45,41,16,66,1000_2000,"Seasonally-adjusted, attributed 90-day pilot that delivers a weekly commercial action list and measurable OTA-to-direct shift, with Swiss-hosted data and proven PMS/booking-engine integration.",PMS/booking-engine integration and attribution complexity; without validated data the Owner will not approve recurring spend.,No PMS/CRM integration,No reliable PMS/booking-engine integration and inability to provide Swiss/GDPR-compliant hosting.,"Propose a shoulder-season, 60-day Swiss-hosted pilot. Start with a no-cost integration audit (PMS/booking engine/channel manager) and a live dashboard demo using their compset. Commit to: (1) bi-weekly GM check-ins, (2) clear KPI pack focused on +10% direct revenue or agreed proxy, (3) multilingual content style calibration in week 1, (4) minimal team lift via white-glove onboarding. Risk controls: monthly opt-out, reference from a Swiss Alpine peer, and performance rebate if KPIs missed. Position pricing in the CHF 1.5–2.0k band for pilot; revisit to CHF 3k only after verified attribution.",medium,40,18,"Low-risk, Swiss-hosted 60-day pilot focused on clear weekly actions and measurable direct-revenue uplift, replacing agency/manual effort rather than adding workload.",PMS/booking-engine integration and attribution complexity; without validated data the Owner will not approve recurring spend.,medium,41,13,"Seasonally-adjusted, attributed 90-day pilot that delivers a weekly commercial action list and measurable OTA-to-direct shift, with Swiss-hosted data and proven PMS/booking-engine integration.","Owner aversion to recurring SaaS without indisputable Swiss luxury references and clear, attributable uplift; approval likely tied to budget cycles and seasonal timing.","deal_killer: GM=""No reliable PMS/booking-engine integration and inability to provide Swiss/GDPR-compliant hosting."" vs CM=""no measurable uplift in direct booking revenue within the agreed proof period""",pms_crm_integration | gdpr_swiss_hosting | reference_switzerland | live_dashboard_demo | roi_calculator
hotel-hotel-rotary-geneva-mgallery,Hotel Rotary Geneva MGallery,Genève,4,95,294.21,upper_upscale,6937178,45,40,20,68,1000_2000,"Turn scattered Accor/property data into 3–5 prioritized weekly actions with multilingual (EN/FR/DE) ready-to-publish content and measurable direct-booking uplift that complements, not replaces, Accor tools.","Accor/MGallery approvals and data access constraints, plus perceived overlap with brand revenue/marketing tooling and owner sensitivity to recurring spend.",No PMS/CRM integration,"Inability to obtain timely, permitted access to Accor/MGallery PMS/CRS/channel data (or brand refusal of parallel recommendation tooling).","Lead with an Accor-friendly pilot: 60–90 days, Swiss/GDPR hosting, minimal staff time (<2 hrs/week), and a clear KPI (e.g., +5% direct revenue or +2 pp direct share). Start with no-regret data sources (website analytics, metasearch, review intel, public compset rates) while submitting the Accor integration request in parallel. Provide a Geneva compset playbook and Swiss references, include a monthly opt-out and optional performance-pricing tranche, and map an explicit data governance plan that respects Accor rules.",low,40,20,Low-lift weekly ‘do-this-now’ commercial action plan (EN/FR/DE) with Geneva compset alerts that complements Accor tools and proves a measurable OTA-to-direct shift with clear attribution.,"Accor/MGallery approvals and data access constraints, plus perceived overlap with brand revenue/marketing tooling and owner sensitivity to recurring spend.",high,40,20,"Turn scattered Accor/property data into 3–5 prioritized weekly actions with multilingual (EN/FR/DE) ready-to-publish content and measurable direct-booking uplift that complements, not replaces, Accor tools.",Accor/vendor whitelist and two-way PMS/CRS access; without approved integration the value (attribution/automation) collapses.,"deal_killer: GM=""Inability to obtain timely, permitted access to Accor/MGallery PMS/CRS/channel data (or brand refusal of parallel recommendation tooling)."" vs CM=""Failure to obtain approved two-way PMS/CRS (Opera/Accor) integration and data-governance clearance; without it, no credible attribution or automation.""",pms_crm_integration | 90_day_pilot | live_dashboard_demo | reference_switzerland | gdpr_swiss_hosting
hotel-hotel-schweizerhof-lenzerheide,Hotel Schweizerhof Lenzerheide,Lenzerheide/Lai,4,74,318.66,upper_upscale,5852764,45,38,18,65,1000_2000,"Attribution-proof 90-day pilot focused on shoulder nights, with included PMS/booking-engine integration, Swiss-hosted data, DE/EN outputs, and a weekly action plan; price near CHF 3k with monthly opt-out and clear success KPIs.","Integration complexity and cost to prove direct uplift (PMS/booking engine), combined with owner-level approval conservatism and seasonal bandwidth constraints.",No PMS/CRM integration,Inability to prove a direct-booking uplift due to lack of reliable PMS/booking-engine integration and attribution within the pilot window.,"Propose a Swiss-hosted, attribution-proof 90-day pilot starting post-peak (Apr–May or Sep–Nov). Include PMS/BE integration, 2 Swiss premium-hotel references, and a KPI target of +10% direct share on shoulder periods. Price the pilot at CHF 2.5–3k with monthly opt-out, white-glove onboarding, and a time-boxed integration plan. Show a live dashboard and ROI calculator tied to their ADR/occupancy to replace part of agency work and manual reporting.",high,41,21,"Attribution-proof 90-day pilot focused on shoulder nights, with included PMS/booking-engine integration, Swiss-hosted data, DE/EN outputs, and a weekly action plan; price near CHF 3k with monthly opt-out and clear success KPIs.","Integration complexity and cost to prove direct uplift (PMS/booking engine), combined with owner-level approval conservatism and seasonal bandwidth constraints.",medium,35,15,"Seasonality-aware weekly action playbook + compset alerts that protect ADR and lift direct share during key booking windows, proven on Swiss alpine references, measured with light-touch attribution first, then deepen integrations.","Integration burden (PMS/BE, data privacy review) combined with owner-controlled annual budget cycle and fear of overlapping tool costs.","deal_killer: GM=""Inability to prove a direct-booking uplift due to lack of reliable PMS/booking-engine integration and attribution within the pilot window."" vs CM=""No reliable PMS/booking‑engine integration path or inability to demonstrate measurable direct-booking uplift within the pilot window.""",90_day_pilot | pms_crm_integration | gdpr_swiss_hosting | reference_switzerland | roi_calculator
hotel-hotel-st-gotthard,Hotel St. Gotthard,Zürich,4,139,363.49,upper_upscale,12540332,45,40,16,64,1000_2000,"Performance-tied 60-day pilot proving +8–10% direct booking revenue/conversion with PMS/BE attribution, Swiss hosting, and a weekly action playbook; commit to replace overlapping compset/reputation spend to keep net OpEx near-neutral.","Owner/finance demand for iron-clad, contractually enforceable ROI and aversion to duplicating existing RM/agency tools; any integration or Swiss-hosting compliance drag amplifies this.",No PMS/CRM integration,"If incremental direct booking uplift cannot be credibly attributed within the pilot window, or if PMS/booking-engine integration fails, the deal will not proceed.","Lead with a Swiss-hosted, integration-included 60-day pilot tied to a single KPI: +8–10% direct booking revenue or conversion vs. a defined baseline. Offer performance-linked pricing or a clawback, monthly opt-out after pilot, and a concrete plan to retire/replace overlapping compset/reputation/agency costs to keep OpEx near-neutral. Provide a live dashboard demo with their data, a clear ROI calculator, and 1–2 Swiss references in similar city-upper-upscale segment. Lock timelines (≤30 days to go live), name the data connectors, and pre-share GDPR/DPA docs to de-risk legal review.",high,35,12,"Performance-tied 60-day pilot proving +8–10% direct booking revenue/conversion with PMS/BE attribution, Swiss hosting, and a weekly action playbook; commit to replace overlapping compset/reputation spend to keep net OpEx near-neutral.","Owner/finance demand for iron-clad, contractually enforceable ROI and aversion to duplicating existing RM/agency tools; any integration or Swiss-hosting compliance drag amplifies this.",high,45,20,"Start with a tight 60–90 day pilot focused on Zurich compset alerts + weekly decision engine tied to a direct-channel KPI, backed by Swiss references and confirmed PMS/booking-engine integration, minimizing IT lift and demonstrating quick wins.",Operational execution capacity and owner/finance approval cycles combined with integration/procurement delays.,"deal_killer: GM=""If incremental direct booking uplift cannot be credibly attributed within the pilot window, or if PMS/booking-engine integration fails, the deal will not proceed."" vs CM=""No reliable PMS/booking‑engine integration or failure to demonstrate measurable direct‑channel uplift within the pilot period.""",60_day_pilot | pms_crm_integration | gdpr_swiss_hosting | reference_switzerland | roi_calculator
hotel-hotel-waldhaus-1,Hotel Waldhaus,Sils/Segl Maria,5,140,581,luxury,20188588,45,39,19,68,2000_3000,"Low-risk 60-day, Swiss-hosted pilot with PMS/BE integration focused on a 7% direct-share uplift and a single weekly decision list; anchor ROI to reduced agency/tool overlap and time saved, scheduled in shoulder season with monthly opt-out.",Operational bandwidth and change management: revenue team resistance to a decision engine plus integration/brand-review overhead may stall execution and dilute ROI.,No PMS/CRM integration,"No reliable PMS/CRS/CRM integration or inability to verify end-to-end data flow, preventing measurement and trust.","Lead with a live dashboard demo using their compset, then propose a 90-day off-season pilot at the CHF 2–3k band with clear success criteria (≥5% direct revenue uplift or 3pp share gain), Swiss/GDPR hosting proof, and white-glove onboarding. Include a PMS/CRS integration plan with vendor timelines, a weekly co-pilot session (CSM) to ensure actions get executed, and an ROI calculator for CFO signoff. Frame budget as a partial swap for agency/reporting spend rather than net-new. Defer any 5k+ upgrade until post-pilot results and internal adoption are proven.",medium,43,19,"Position as a Revenue Actionboard that turns existing data into 5–7 prioritized weekly moves with CHF impact, delivered with Swiss-hosted data, direct PMS integration, and references from Swiss luxury peers; run an off-season 90-day pilot tied to direct-booking KPIs and replace a slice of agency deliverables.",Operational bandwidth and change management: revenue team resistance to a decision engine plus integration/brand-review overhead may stall execution and dilute ROI.,high,35,18,"Low-risk 60-day, Swiss-hosted pilot with PMS/BE integration focused on a 7% direct-share uplift and a single weekly decision list; anchor ROI to reduced agency/tool overlap and time saved, scheduled in shoulder season with monthly opt-out.",Owner/CFO OpEx conservatism plus IT/security diligence for Swiss-hosted PMS/CRM integration and data processing.,"deal_killer: GM=""No reliable PMS/CRS/CRM integration or inability to verify end-to-end data flow, preventing measurement and trust."" vs CM=""No Swiss/GDPR-compliant hosting and inability to integrate securely with PMS/CRM.""",pms_crm_integration | gdpr_swiss_hosting | roi_calculator | reference_switzerland | live_dashboard_demo
