rank,hotel_slug,hotel_name,location,stars,rooms,adr_chf,segment,revenue_proxy_chf,priority_score,buy_likelihood_3k,buy_likelihood_5k,delay_likelihood_12m,recommended_price_band,primary_wedge,primary_blocker,deal_killer,deal_killer_raw,outreach_angle,gm_confidence,cm_confidence,disagreements
11,hotel-hotel-seehof-davos,Hotel Seehof Davos,Davos Dorf,5,114,276.28,luxury,7817287,49,46,24,65,1000_2000,"Position as a Swiss-hosted weekly commercial command center that turns compset signals, guest sentiment, and on-hand PMS data into 10–12 prioritized actions per week; start with a measured 60-day pilot tied to direct-share KPIs and attribution.","Owner/Finance skepticism of recurring SaaS without hard, attributable ROI and security-compliant integrations.",No PMS/CRM integration,"No demonstrable, attributable path to direct-booking revenue uplift within the agreed pilot window (or inability to integrate with PMS/booking engine).","Propose a 60–90 day shoulder-season pilot at CHF 2.5–3k/month with Swiss-hosted deployment and live PMS/booking engine integration. Commit to a single success metric (e.g., +7% direct bookings or +5% direct-revenue uplift) and a weekly adoption cadence (GM/RM check-ins). Include a tool-rationalization plan (replace review + compset/content spend), white-glove onboarding in DE/EN, reference from a Swiss alpine 4–5* peer, ROI calculator, and a CFO/Owner-ready pack. Add monthly opt-out post-pilot or apply pilot fees to an annual plan if targets are met.",medium,high,"price_band: GM=2000_3000 vs CM=1000_2000 | deal_killer: GM=""No demonstrable, attributable path to direct-booking revenue uplift within the agreed pilot window (or inability to integrate with PMS/booking engine)."" vs CM=""No reliable PMS/booking‑engine integration or inability to guarantee Swiss/GDPR‑compliant hosting."""
12,hotel-the-dolder-grand,The Dolder Grand,Zürich,5,175,742.46,luxury,32248750,49,45,23,65,2000_3000,"Reference-led, Swiss-hosted 90-day pilot that unifies PMS + compset + guest sentiment into a weekly decision engine tied to a direct-share KPI, delivered with white-glove onboarding and strict brand safeguards.","Owner/Finance skepticism on marginal incremental value versus existing stack, compounded by IT/security scrutiny for PMS/CRM access.",No PMS/CRM integration,"No secure, reliable PMS/CRM integration (and inability to meet Swiss/GDPR data residency/security requirements).","Lead with comparable Swiss luxury references and a Swiss-hosted, white-glove 90-day pilot at ~CHF 2.5–3k/month, KPI-gated to a 3pp direct-share uplift. Position as a complement to current RMS/agencies (no stack rip-and-replace), start with read-only PMS integration, human-in-the-loop content for brand safety, clear ROI calculator, and monthly opt-out that converts to discounted annual only if KPI is met. Time for a shoulder-season window and pre-align with IT/security and Finance.",high,high,"deal_killer: GM=""No secure, reliable PMS/CRM integration (and inability to meet Swiss/GDPR data residency/security requirements)."" vs CM=""No PMS/CRM integration or inability to deliver auditable direct-booking attribution within the pilot."""
13,hotel-buergenstock-hotel-alpine-spa,Bürgenstock Hotel & Alpine Spa,Obbürgen,5,211,803.59,luxury,42084169,48,45,23,68,2000_3000,"ROI-tied direct-booking uplift with weekly, prioritized commercial playbooks while consolidating compset/review tooling.",Limited control over the booking engine/website (attribution and funnel changes) combined with owner/board legal procurement and DPA/Swiss‑hosting requirements.,No PMS/CRM integration,No reliable PMS/CRS integration and inability to meet Swiss GDPR/data‑residency requirements; plus inability to attribute impact due to lack of booking‑funnel control.,"Lead with a 60‑day Swiss‑hosted pilot focused on weekly decisioning and compset moves, instrumented through PMS/CRS + current booking‑engine reports. Commit to a board‑ready ROI pack (target 3–5% direct share or 3–5% RevPAR improvement), provide two Swiss luxury references, and include pre‑approved DPA/SLA templates. Keep website/engine changes out of scope in phase 1; offer partial performance pricing at the 5k tier and monthly opt‑out after pilot.",medium,medium,"deal_killer: GM=""No reliable PMS/CRS integration and inability to meet Swiss GDPR/data‑residency requirements; plus inability to attribute impact due to lack of booking‑funnel control."" vs CM=""No PMS/CRM integration plus inability to offer Swiss-hosted/GDPR-compliant deployment."""
14,hotel-castello-del-sole-beach-resort-spa,Castello del Sole Beach Resort & SPA,Ascona,5,79,498.78,luxury,9779978,48,45,21,65,2000_3000,"De-risked off-season pilot focused on weekly commercial playbooks + on-brand multilingual content that reduces agency hours, with PMS/BE integration for attribution and Swiss hosting assurances.",External booking engine integration/attribution risk and owner conservatism on recurring software spend.,No PMS/CRM integration,Inability to credibly prove uplift in direct revenue due to missing or failed PMS/booking-engine integration/attribution.,"Lead with a 60–90 day pilot scheduled in shoulder season focused on direct-revenue uplift. Start with a 2-week integration discovery and attribution QA with PMS/booking engine. Offer Swiss/GDPR hosting, local luxury references, and a milestone-based plan: weekly 1–3 actions, EN/DE/IT content, and a shared ROI dashboard. Price in the CHF 2.5–3k band with monthly opt-out until proof; add performance-linked component if helpful. Secure DoS&M as day-to-day champion and pre-align owner/CFO on success criteria and exit clauses.",medium,medium,"deal_killer: GM=""Inability to credibly prove uplift in direct revenue due to missing or failed PMS/booking-engine integration/attribution."" vs CM=""No reliable PMS/booking engine integration and lack of Swiss/GDPR-compliant hosting/security documentation."""
15,hotel-grand-hotel-des-bains-kempinski,Grand Hotel des Bains Kempinski,St. Moritz,5,184,1222.5,luxury,55830108,48,45,23,68,2000_3000,"Pilot tied to provable +5% direct revenue with Swiss-hosted, read-only PMS integration and weekly actioning that plugs into corporate KPIs (no rate-parity risk, complements—not replaces—brand tools).",Kempinski brand IT/legal approvals and CRM/data access restrictions creating delays or denying required integrations.,No PMS/CRM integration,No PMS/CRM integration or inability to access required guest/transactional data due to brand or privacy restrictions.,"Lead with compliance and complementarity: propose a Swiss-hosted, GDPR-safe 60-day pilot that integrates read-only first with PMS/booking data to generate a weekly action plan (pricing, LOS, packages, content) and attribute direct-booking uplift. Bring Swiss luxury references, map how it coexists with IDeaS/Duetto and Kempinski corporate systems, and pre-negotiate data-processing and SLA terms. Time the pilot for a pre-season window and cap price in the CHF 2–3k band with a monthly opt-out; offer white-glove onboarding and a single point of contact.",medium,low,"deal_killer: GM=""No PMS/CRM integration or inability to access required guest/transactional data due to brand or privacy restrictions."" vs CM=""pms_crm_integration"""
16,hotel-grand-hotel-villa-castagnola,Grand Hotel Villa Castagnola,Lugano,5,71,559.09,luxury,9852396,48,45,20,65,2000_3000,"Swiss-hosted, ROI-tied 60-day pilot with PMS/BE integration that replaces part of agency scope and delivers weekly, prioritized actions to lift direct bookings.",Owner conservatism and fear of OTA/agency cannibalization combined with legal/IT friction on integrations and data privacy.,No PMS/CRM integration,No PMS/booking engine integration for attribution or inability to demonstrate measurable direct booking uplift.,"Propose a Swiss-hosted, white-glove 60–90 day pilot scheduled for shoulder season with PMS/CRS integration and clear success KPIs (≥5–8% direct room revenue uplift or +3–5pp direct share). Commit to brand‑safe Italian/DE/FR content with in‑house approval, a weekly owner/GM one‑pager of prioritized actions, and minimal lock‑in (monthly opt‑out). Offer to displace one compset/reputation tool or a slice of agency scope to fund the pilot. Provide two Swiss luxury references and a data‑privacy pack up front; include SLAs, exit/data portability terms, and an ROI calculator. Sequence stakeholders early (GM + Rev/Marketing) and position the pilot as protecting ADR and reducing OTA dependence without risking peak season.",medium,medium,"deal_killer: GM=""No PMS/booking engine integration for attribution or inability to demonstrate measurable direct booking uplift."" vs CM=""No reliable PMS/booking engine integration and no Swiss/GDPR-compliant (preferably Swiss-based) hosting/data processing."""
17,hotel-hotel-belvedere-locarno,Hotel Belvedere Locarno,Locarno,4,90,368.38,upper_upscale,8228872,48,45,17,62,1000_2000,"Pilot-backed weekly decision engine that replaces spreadsheets/agency tasks, integrates with PMS to prove 5–8% direct uplift, and complies with Swiss/GDPR hosting.",Owner/finance signoff combined with execution bandwidth and proof-of-attribution demands.,No PMS/CRM integration,No reliable PMS/booking-engine integration and attribution for direct bookings.,"Propose a 60–90 day Swiss-hosted pilot starting in shoulder season. Commit to PMS/booking-engine integration upfront, deliver a weekly 5–8 item action plan, and tie part of fees to verified direct-booking uplift. Bring 1–2 Swiss upper-upscale references, a clear ROI calculator, and offer monthly opt-out after pilot. Emphasize replacing agency/spreadsheet time and avoiding an additional hire while protecting ADR around peak events (e.g., Locarno Film Festival).",high,high,"price_band: GM=1000_2000 vs CM=2000_3000 | deal_killer: GM=""No reliable PMS/booking-engine integration and attribution for direct bookings."" vs CM=""No Swiss/EU GDPR-compliant hosting or inability to deliver reliable PMS/CRM integration for attribution."""
18,hotel-hotel-des-trois-couronnes,Hôtel des Trois Couronnes,Vevey,5,71,510.19,luxury,8990670,48,45,21,65,1000_2000,"Prove direct revenue lift with a 90-day, shoulder-season pilot that integrates PMS data to deliver 3–5 weekly prioritized actions (with done-with-you execution) and protects ADR via compset guardrails.",Operational execution capacity in a small team (bandwidth to action recommendations and campaigns).,No PMS/CRM integration,No reliable PMS/booking-engine integration and/or insufficient GDPR/Suisse hosting assurances for guest and reservation data.,"Propose a 90-day, shoulder-season pilot focused on direct booking conversion and ADR protection. Commit to certified PMS/booking-engine integration, Swiss/EU GDPR hosting, and provide a Swiss luxury reference. Pair the weekly action engine with done-with-you micro-sprints (FR/EN/DE content ready-to-publish) to offset team bandwidth. Anchor ROI to direct revenue attribution and agency replacement hours; structure pricing at 2k during pilot then 3k with monthly opt-out. Bring a clear owner-ready ROI pack and security documentation upfront to streamline signoff.",high,medium,"price_band: GM=1000_2000 vs CM=2000_3000 | deal_killer: GM=""No reliable PMS/booking-engine integration and/or insufficient GDPR/Suisse hosting assurances for guest and reservation data."" vs CM=""No reliable PMS/booking-engine integration and inability to provide accurate direct revenue attribution."""
19,hotel-park-hotel-zug,Park Hotel Zug,Zug,4,109,391.2,upper_upscale,10583447,48,44,18,62,1000_2000,"Offer a Swiss-hosted, PMS-integrated 60–90 day pilot that delivers one weekly action plan and targets a +7–10% direct uplift, backed by Swiss reference calls and a clear ROI scorecard.",CFO/Owner reluctance to add recurring opex without hard ROI and the hidden implementation load/cost of PMS integration and team time.,No PMS/CRM integration,No reliable PMS/CRS integration access or lack of Swiss/GDPR-compliant data hosting and agreements.,"Lead with a Swiss-hosted 60–90 day pilot tied to PMS data and a pre-agreed KPI (direct revenue uplift). Provide a CFO pack (ROI calculator, exit/opt-out clause, Swiss references) and commit to white-glove onboarding with read-only PMS integration first. Position as replacing slices of agency/reputation/compset spend and reducing manual management time, not as net-new opex.",high,high,"price_band: GM=1000_2000 vs CM=2000_3000 | deal_killer: GM=""No reliable PMS/CRS integration access or lack of Swiss/GDPR-compliant data hosting and agreements."" vs CM=""No integration with PMS/CRS or inability to access booking-level data for attribution."""
20,hotel-swiss-diamond-hotel,Swiss Diamond Hotel,Vico Morcote,5,87,311.33,luxury,6722673,48,47,20,66,1000_2000,"ROI-audited 90-day pilot with PMS/booking engine integration that produces a weekly action list and compset-driven rate/content moves, backed by Swiss luxury references to avoid an additional hire.",Owner/Finance demand auditable ROI and GDPR/legal signoff; potential PMS/vendor integration delays and agency pushback.,No PMS/CRM integration,No viable PMS/booking engine integration or inability to agree on an auditable ROI measurement plan.,"Lead with a 90-day Swiss-hosted pilot at ~CHF 3k including PMS/BE integration and an attribution plan (baseline + holdout/A-B where feasible). Week 1–2: integration and data QA; Week 3: agree KPIs (direct revenue, conversion, RevPAR vs compset) and governance cadence; Weeks 4–12: deliver weekly prioritized actions, multilingual content, and compset alerts. Provide Swiss luxury references and an ROI calculator. If targets met, convert to annual at CHF 2–3k with an annual discount; if not, monthly opt-out.",high,medium,"price_band: GM=2000_3000 vs CM=1000_2000 | deal_killer: GM=""No viable PMS/booking engine integration or inability to agree on an auditable ROI measurement plan."" vs CM=""No PMS/booking‑engine integration and no auditable uplift in direct bookings during the pilot period."""
21,hotel-widder-hotel,Widder Hotel,Zürich,5,49,567.24,luxury,6898659,48,45,20,65,1000_2000,"Turn scattered intel into a single weekly, brand‑safe action brief that the small team can execute, tied to measurable direct‑booking uplift, with Swiss‑hosted data and seamless PMS/booking‑engine integration.",Owner/Finance conservatism plus integration risk and existing agency contracts; demand for Swiss luxury references and clear guaranteed uplift.,No PMS/CRM integration,No reliable PMS/booking engine integration delivering clean data.,"Lead with a Swiss-hosted, GDPR-compliant 90-day pilot tied to a direct-revenue KPI (target 5–10% uplift) and weekly action plans. Open with 1) integration diagnostic workshop (PMS/BE/CRS readiness, data quality, timeline), 2) reference call from a comparable Swiss luxury boutique, 3) white-glove onboarding with SLA for data sync and brand-safe content guardrails, 4) ROI calculator mapping agency/tool overlap and management time replaced, 5) monthly opt-out and performance-based renewal. Propose low-season start to minimize operational risk and align with budget cycles.",medium,medium,"price_band: GM=2000_3000 vs CM=1000_2000 | deal_killer: GM=""No reliable PMS/booking engine integration delivering clean data."" vs CM=""Inability to integrate with the PMS/embedded booking engine and demonstrate credible direct‑booking uplift within the agreed pilot window."""
22,hotel-art-boutique-hotel-monopol,Art Boutique Hotel Monopol,St. Moritz,4,67,745.72,luxury,12400876,47,44,18,65,1000_2000,"A tightly scoped 60–90 day, Swiss-hosted pilot tied to PMS/booking-engine attribution that delivers a weekly 3–5 action playbook and multilingual (DE/EN/IT + optional RU/ZH) content—positioned as substituting CHF 1–2k/month of agency deliverables and clarifying compset moves for shoulder-season demand capture.","Owner/CFO skepticism about attributable ROI without airtight PMS data, validated Swiss luxury references, and alignment to budget cycles.",No PMS/CRM integration,No reliable PMS/booking engine integration or inability to access transactional data for measurement.,"Propose an off-season, 60-day pilot with Swiss-hosted data and guaranteed PMS/BE integration. Commit to 3–5 weekly, low-lift commercial actions and a transparent ROI ledger focused on direct booking revenue and conversion. Provide two Swiss/Alpine luxury references up front, a monthly opt-out, and option to convert to annual with a discount once targets are met.",medium,medium,"price_band: GM=2000_3000 vs CM=1000_2000 | deal_killer: GM=""No reliable PMS/booking engine integration or inability to access transactional data for measurement."" vs CM=""No reliable PMS/booking-engine integration and attribution, or failure to demonstrate measurable direct-booking uplift within the agreed pilot window."""
23,hotel-beatus-wellness-spa-hotel,Beatus Wellness- & Spa-Hotel,Merligen,5,71,515.89,luxury,9091117,47,43,18,65,1000_2000,"A 90-day, Swiss-hosted pilot tied to a direct-revenue KPI and weekly action engine that replaces agency spend + manual spreadsheets, with PMS integration and performance credits.","Owner/finance skepticism of recurring SaaS without clear, auditable revenue attribution; plus PMS/booking engine integration complexity.",No PMS/CRM integration,No PMS/booking engine integration or inability to produce auditable attribution to direct revenue.,"Lead with an attribution-first, Swiss-hosted 60–90 day pilot post-peak: 1) sign DPA and confirm PMS/BE connectors; 2) baseline direct share and define success (e.g., +8–10% direct share or +5% RevPAR vs control); 3) deliver weekly decision packs (pricing, packages, segments) and multilingual content with light QA; 4) run bi-weekly ROI reviews with GM/Owner and Director Commercial; 5) offer performance-pricing or monthly opt-out, plus Swiss luxury references. Price the pilot in the CHF 2k band, convert to ~CHF 3k only after verified results with an annual discount.",medium,medium,"price_band: GM=1000_2000 vs CM=2000_3000 | deal_killer: GM=""No PMS/booking engine integration or inability to produce auditable attribution to direct revenue."" vs CM=""No secure, reliable PMS/booking-engine integration or inability to demonstrate measurable direct-booking uplift within the pilot window."""
24,hotel-chenot-palace-weggis,CHENOT Palace Weggis,Weggis,5,97,690,luxury,16612026,47,44,21,68,1000_2000,"Swiss-hosted, PMS-integrated weekly action engine that replaces part of agency content/analysis and proves incremental direct revenue.","Owner/Board conservatism toward recurring SaaS without risk‑sharing and strong Swiss luxury references, plus GDPR/data‑handling scrutiny.",No PMS/CRM integration,No reliable PMS/booking‑engine integration with GDPR/Swiss‑hosting assurances (cannot attribute uplift to direct revenue).,"Lead with risk‑reduced proof: a 90‑day Swiss‑hosted pilot integrated to their PMS/booking engine, delivering weekly commercial actions and a clear attribution dashboard to direct revenue. Offer white‑glove onboarding, strict GDPR/Swiss data residency (no medical data required), and references from Swiss luxury wellness properties. Position the fee as replacing overlapping agency/tooling and management time, not additive cost. Include a performance or milestone‑linked element and a clean monthly opt‑out after the pilot. Propose timing post‑peak season to minimize disruption and secure Finance/IT sign‑offs.",medium,medium,"price_band: GM=2000_3000 vs CM=1000_2000 | deal_killer: GM=""No reliable PMS/booking‑engine integration with GDPR/Swiss‑hosting assurances (cannot attribute uplift to direct revenue)."" vs CM=""No reliable PMS/CRM integration combined with lack of Swiss/GDPR-compliant data hosting"""
