slug,name,location,stars,superior,rooms,adr_chf,price_category,revenue_proxy_chf,segment,direct_booking,positioning,tone
hotel-chalet-silvretta-hotel-spa,Chalet Silvretta Hotel & Spa,Samnaun Dorf,4,false,32,414.83,Premium,3294746,upper_upscale,true,Alpine coziness | Regional cuisine & Swiss hospitality | Wellness and relaxation | Family-friendly activities | Skiing in Silvretta Ski-Arena | Spa,alpine-boutique
hotel-chenot-palace-weggis,CHENOT Palace Weggis,Weggis,5,true,97,690,Premium,16612026,luxury,true,detoxification | personalized health programs | luxurious wellness retreat | holistic health | state-of-the-art medical spa | Spa,wellness-luxury
hotel-chetzeron,Chetzeron,Crans-Montana,4,false,16,425.43,Premium,1689468,upper_upscale,false,alpine wellness | ski in ski out | sustainable tourism | unique design | mountain retreat | authentic hospitality,alpine-boutique
hotel-christiania-mountain-spa,Christiania Mountain & Spa,Zermatt,4,false,72,409.13,Premium,7311317,upper_upscale,true,spa and wellness | family-run hospitality | cultural accommodations | culinary experiences | mountain views | Spa,understated-luxury
hotel-city-garden-hotel,City Garden Hotel,Zug,4,true,78,353.71,Premium,6847684,upper_upscale,true,Designhotel | Nachhaltigkeit | Zentrale Lage | Gastronomie | Spa | Restaurant,modern-design
hotel-city-hotel-ochsen-zug,City-Hotel Ochsen Zug,Zug,4,false,42,387.94,Premium,4044042,upper_upscale,true,city center access | restaurant on-site | comfortable accommodations | Restaurant | Bar | Boutique,contemporary-comfort
hotel-consum-boutique-hotel,Consum Boutique Hotel,Basel,4,false,12,533.01,Premium,1587517,upper_upscale,true,Boutique hotel | Wine bar | Mediterranean flair | Spa | Bar | Swisstainable Livello II - engaged,casual-boutique
hotel-courtyard-by-marriott-zuerich-nord,Courtyard by Marriott Zürich Nord,Zürich,4,false,152,267.32,,10085021,business_conference,true,contemporary style | convenient location | business-friendly | on-site dining | Spa | Restaurant,modern-business
hotel-cresta-palace-celerina,Cresta Palace Celerina,Celerina/Schlarigna,4,true,90,449.06,Premium,10031102,upper_upscale,true,alpine elegance | culinary experiences | wellness spa | ski access | family-friendly | Spa,luxurious-alpine
hotel-czp-chalet-zermatt-peak,CZP Chalet Zermatt Peak,Zermatt,5,false,5,27857,Luxury,34570537,luxury,true,luxury accommodation | wellness services | gourmet dining | exclusive use | breathtaking views | Spa,luxury
hotel-delta-resort-apartments,Delta Resort Apartments,Ascona,5,false,13,295.03,,951944,luxury,true,best price guarantee | direct booking advantages | family-friendly accommodations | golf discounts | wellness amenities | convenient location,modern-comfort
hotel-deltapark-vitalresort,Deltapark Vitalresort,Gwatt (Thun),4,true,87,288.51,,6229912,upper_upscale,true,wellness | nature retreat | culinary experience | luxury accommodation | spa services | experience offerings,wellness-luxury
hotel-deltapark-vitalresort-seevillen,Deltapark Vitalresort Seevillen,Gwatt (Thun),5,false,2,288.51,,143216,luxury,true,wellness | nature retreat | culinary experiences | Spa | Restaurant | Bar,wellness-luxury
hotel-edelweiss-swiss-quality-hotel,Edelweiss Swiss Quality Hotel,Sils/Segl Maria,4,false,67,363.91,Premium,6051605,upper_upscale,true,Tradition und modernem Komfort | wellness services | Kulturabende mit Konzerten und Lesungen | Wellness | Restaurant | Bar,understated-luxury
hotel-eiger-mountain-soul-resort,Eiger Mountain & Soul Resort,Grindelwald,4,false,50,378.97,Premium,4703018,upper_upscale,true,alpine wellness | cozy retreat | local culinary experiences | Spa | Wellness | Restaurant,alpine-boutique
hotel-eiger-muerren-swiss-quality-hotel,Eiger Mürren Swiss Quality Hotel,Mürren,4,false,49,420.54,Premium,5114523,upper_upscale,false,alpine wellness | gastronomy | family hospitality | outdoor adventures | serene environment | Spa,alpine-boutique
hotel-einstein-st-gallen,Einstein St. Gallen,St. Gallen,4,true,113,326.81,Premium,9165909,upper_upscale,false,delectable dining experiences | business meetings | wellness area | banquets & weddings | seminar rooms | music events,modern-leisure
hotel-elite-alpine-lodge,Elite Alpine Lodge,Saas-Fee,4,false,10,277.1,,687762,serviced_apartments,true,luxury accommodations | spa and wellness | family-friendly | mountain views | proximity to ski lifts | Spa,luxury-leisure
hotel-ema-house-hotel-suites,EMA House Hotel Suites,Zürich,4,false,23,395.27,Premium,2256438,upper_upscale,true,Hotel Suites | Serviced Apartments | Convenient Booking | Spacious Accommodations | Private Experience | Meeting & Seminar Rooms,modern-design
hotel-engadiner-boutique-hotel-guardaval,Engadiner Boutique-Hotel GuardaVal,Scuol,4,false,36,347.19,Premium,3102212,upper_upscale,true,alpine wellness | romantic getaways | culinary experiences | direct access to spa | Spa | Wellness,alpine-boutique
hotel-ermitage-wellness-spa-hotel,ERMITAGE Wellness- & Spa-Hotel,Schönried,5,false,96,344.75,Premium,8214427,luxury,true,Alpine wellness | Chalet atmosphere | Culinary experiences | Seasonal offers and packages | Cultural engagement | Spa,alpine-boutique
hotel-europe-hotel-spa,Europe Hotel & Spa,Zermatt,4,false,37,643.03,Premium,5905202,upper_upscale,false,wellness spa | alpine experience | gastronomic offers | Spa | Wellness | Restaurant,mountain-boutique
hotel-experimental-chalet-verbier,Experimental Chalet Verbier,Verbier,4,false,39,511.82,Premium,4954315,upper_upscale,true,luxury getaway | alpine wellness | fine dining | boutique hotel | Spa | Wellness,understated-luxury
hotel-face-dor,Face d'Or,Zermatt,5,false,4,286.06,,284000,luxury,true,luxury apartments | hotel services | wellness getaway | family-friendly | central location | Spa,luxury-leisure
hotel-fairmont-grand-hotel-geneva,Fairmont Grand Hotel Geneva,Genève,5,true,412,741.65,Premium,75839942,luxury,true,City Center Location | Business Traveler Conveniences | Skyline Views | Oasis of relaxation | Tailor-made Experiences | Spa,luxury
hotel-fairmont-le-montreux-palace,Fairmont Le Montreux Palace,Montreux,5,true,236,628.37,Premium,36806898,luxury,true,Belle Époque architecture | luxury spa | culinary experiences | family-friendly services | stunning lake views | Spa,luxury
hotel-five-zurich,FIVE Zurich,Zürich,5,true,149,347.19,Premium,12839711,luxury,false,luxury | contemporary design | lifestyle experience | Design,luxury
hotel-flueela-hotel-davos,Flüela Hotel Davos,Davos Dorf,5,false,51,343.11,Premium,4343155,luxury,true,luxury ski resort | history and heritage | family comfort | Spa | Wellness | Restaurant,luxury
hotel-fraser-suites-geneva,Fraser Suites Geneva,Genève,4,false,67,391.2,Premium,6218417,upper_upscale,true,elegant accommodations | ideal for business and leisure | city-center location | Spa | Restaurant | Suites,elegant-comfort
hotel-frutt-mountain-resort,Frutt Mountain Resort,Melchsee-Frutt,4,true,114,625.1,Premium,17687079,upper_upscale,true,wellness retreat | mountain adventure | culinary experience | event spaces | Spa | Wellness,mountain-wellness
hotel-geneva-marriott-hotel,Geneva Marriott Hotel,Cointrin,4,true,263,290.14,,18939353,upper_upscale,true,Glocal hospitality | Sustainable practices | Modern design | Business-friendly amenities | Culinary experiences | Spa,modern-design
hotel-glockenhof-zuerich,GLOCKENHOF ZÜRICH,Zürich,4,true,88,630,Premium,13760208,upper_upscale,true,central location | exceptional service | event hosting | Restaurant | Bar | Seminar facilities,urban-oasis
hotel-golfhotel-les-hauts-de-gstaad-spa,Golfhotel Les Hauts de Gstaad & SPA,Saanenmöser,4,true,57,295.03,,4173907,upper_upscale,true,family-friendly atmosphere | mountain scenery | year-round openness | Spa | Suites | Family-friendly,modern-design
hotel-grace-la-margna-st-moritz,Grace La Margna St. Moritz,St. Moritz,5,true,74,461.29,Premium,8472421,luxury,true,luxury | culinary excellence | wellness retreat | family-friendly | art and culture | Spa,understated-luxury
hotel-grand-hotel-belvedere,Grand Hotel Belvedere,Wengen,5,false,90,261.62,,5844068,luxury,true,Swiss Alps wellness | Ski and adventure experiences | Gastronomic journey through the Alps | Event and celebration services | Luxury alpine design | Spa,alpine-luxury
hotel-grand-hotel-des-bains,Grand Hotel des Bains,Lavey-les-Bains,4,false,70,343.11,Premium,5961193,upper_upscale,true,thermal wellness | spa services | fine dining | events and seminars | hotel accommodation | Spa,wellness-retreat
hotel-grand-hotel-des-bains-kempinski,Grand Hotel des Bains Kempinski,St. Moritz,5,true,184,1222.5,Luxury,55830108,luxury,true,luxury | ski access | hiking trails | wellness spa | fine dining | Spa,luxury
hotel-grand-hotel-du-lac,Grand Hôtel du Lac,Vevey,5,true,50,351.26,Premium,4359137,luxury,true,boutique hotel | gastronomic experiences | luxury and elegance | wellness destination | Spa | Wellness,upscale-luxury
hotel-grand-hotel-du-parc,Grand Hotel du Parc,Crans-Montana,4,false,68,407.5,Premium,6877622,upper_upscale,false,family-friendly | mountain retreat | wellness services | local culture | ski access | Spa,family-leisure
hotel-grand-hotel-europe,Grand Hotel Europe,Luzern,4,false,177,267.32,,11743742,business_conference,true,lake views | historic charm | modern amenities | elegant dining | event facilities | Spa,elegance
hotel-grand-hotel-les-endroits,Grand Hôtel les Endroits,La Chaux-de-Fonds,4,true,55,900,Luxury,12285900,luxury,true,wellness | gourmet dining | relaxation | special events | spa services | Spa,luxury-wellness
hotel-grand-hotel-les-trois-rois,Grand Hotel Les Trois Rois,Basel,5,true,82,510.19,Premium,10383591,luxury,true,luxury accommodation | fine dining | wellness services | meetings & events | experiences | Spa,luxury
hotel-grand-hotel-national,Grand Hotel National,Luzern,5,false,62,365.94,Premium,5631231,luxury,true,luxury | lakeside | historic elegance | fine dining | business-friendly | Spa,understated-luxury
hotel-grand-hotel-suisse-majestic,Grand Hotel Suisse Majestic,Montreux,4,true,155,307.25,Premium,11820215,upper_upscale,false,Belle Époque style | Wellness and relaxation | Culinary experience | Historical charm | Business and event facilities | Spa,heritage-elegance
hotel-grand-hotel-villa-castagnola,Grand Hotel Villa Castagnola,Lugano,5,true,71,559.09,Premium,9852396,luxury,true,luxury lakeside | fine dining | wellness retreat | artistic ambiance | historic charm | Spa,luxury
hotel-grandhotel-giessbach,Grandhotel Giessbach,Brienz BE,4,false,74,530.56,Premium,9744689,upper_upscale,true,alpine elegance | nature escape | wellness retreat | Restaurant | Excellent Cuisine | Hiking,heritage-elegance
hotel-grischa-das-hotel-davos,Grischa - DAS Hotel Davos,Davos Platz,4,true,93,272.21,,6283315,upper_upscale,false,active hotel | culinary experiences | pets welcome | Restaurant | Bar | Meeting rooms,active-leisure
hotel-gstaaderhof-active-relax-hotel,Gstaaderhof – Active & Relax Hotel,Gstaad,4,false,66,690.3,Premium,11307942,upper_upscale,false,Active & Relax | Wellness | Culinary | Outdoor Activities | Family-Friendly | Spa,welcoming-comfort
hotel-guarda-golf-hotel-residences,Guarda Golf Hotel & Residences,Crans-Montana,5,true,29,666.67,Premium,4798557,luxury,true,luxury hospitality | culinary experiences | wellness | Spa | Restaurant | Ski services,luxury
hotel-gubelhof-suites,Gubelhof Suites,Zug,4,false,20,313.77,Premium,1557554,upper_upscale,true,stylish apartments | individual & modern | comfortable luxury | city center location | ideal for short and long stays | personalized services,boutique-luxury
hotel-hermitage-lake-lucerne,HERMITAGE Lake Lucerne,Luzern,4,true,69,268.95,,4402779,upscale,true,lifestyle | lake view | modern hospitality | culinary experiences | events | Spa,lifestyle-luxury
hotel-hilton-geneva-hotel-conference-centre,Hilton Geneva Hotel & Conference Centre,Le Grand-Saconnex,4,true,496,285.25,,35116329,upper_upscale,true,conference facilities | airport shuttle services | city center access | Spa | Bar | Meeting rooms,business-conference
hotel-home-swiss-hotel,Home Swiss Hôtel,Genève,4,false,39,344.75,Premium,3337111,upper_upscale,true,modern elegance | business-friendly | central location | Spa | Restaurant | Ski services,modern-comfort
hotel-hop-apartments-suites,HOP Apartments & Suites,Unterseen,4,false,20,373.27,Premium,1852912,upper_upscale,true,alpine adventure | modern accommodations | family-friendly perks | Bar | Suites | Design,casual-leisure
hotel-hotel-adula,Hotel Adula,Flims Waldhaus,4,true,93,356.15,Premium,8220868,upper_upscale,true,alpine wellness | family vacations | business meetings | Swiss hospitality | Spa | Wellness,understated-luxury
hotel-hotel-albatros,Hotel Albatros,Zermatt,4,false,20,389.57,Premium,1933825,upper_upscale,true,family-owned | wellness | ski adventure | comfort & style | home away from home | Spa,family-leisure
hotel-hotel-alex-1,Hotel Alex,Zermatt,4,true,84,400.98,Premium,8359952,upper_upscale,true,luxury | wellness | fine dining | authentic traditions | mountain experience | Spa,understated-luxury
hotel-hotel-allalin,Hotel Allalin,Saas-Fee,4,false,30,336.59,Premium,2506249,upper_upscale,true,family-friendly accommodations | fine dining | wellness and outdoor activities | romantic escapes | conference facilities | Spa,modern-welcoming
hotel-hotel-alpenhof-1,Hotel Alpenhof,Zermatt,4,true,62,674,Premium,10371782,upper_upscale,true,wellness | family-run | nature | luxury | local tradition | Spa,wellness-luxury
hotel-hotel-ambassador,Hotel Ambassador,Zermatt,4,false,89,500,Premium,11044900,upper_upscale,true,alpine experiences | central location | wellness | culinary delights | traditional hospitality | Spa,alpine-comfort
hotel-hotel-angleterre,Hôtel Angleterre,Lausanne,4,false,75,302.36,Premium,5628431,upper_upscale,true,lac-view | garden oasis | wellness retreat | business-friendly | family-friendly | Spa,serene-luxury
hotel-hotel-aristella-swissflair,Hotel Aristella swissflair,Zermatt,4,false,28,530.56,Premium,3687180,upper_upscale,true,Swiss hospitality | wellness | modern design | mountain retreat | fine dining | Spa,alpine-boutique
hotel-hotel-banana-city,Hotel Banana City,Winterthur,4,false,100,348.82,Premium,8657712,upper_upscale,false,conference facilities | culinary experiences | business packages | wellness services | event hosting | Wellness,business-conference
hotel-hotel-beau-rivage,Hotel Beau-Rivage,Zermatt,4,false,13,582.72,Premium,1880204,upper_upscale,true,family-managed | central location | skiing expertise | Wellness | Restaurant | Bar,family-leisure
hotel-hotel-bellavista-1,Hotel Bellavista,Silvaplana-Surlej,4,false,31,365.94,Premium,2691397,upper_upscale,false,unique location | family tradition | culinary highlights | wellness services | Wellness | Restaurant,family-leisure
hotel-hotel-bellevue-palace,Hotel Bellevue Palace,Bern,5,true,126,433.58,Premium,13559434,luxury,true,Historical significance | Luxury hospitality | Central location in Bern | Meeting and event facilities | Fine dining | Spa,understated-luxury
hotel-hotel-belvedere-locarno,Hotel Belvedere Locarno,Locarno,4,true,90,368.38,Premium,8228872,upper_upscale,true,Mountain views | Wellness & Spa services | Gastronomy | Romantic getaways | Family-friendly experiences | Events & Meetings,elegant-relaxation
hotel-hotel-bristol-2,Hôtel Bristol,Genève,4,true,110,403.42,Premium,11014173,upper_upscale,true,Art Deco design | Wellness and relaxation | Gourmet dining | Spa | Restaurant | Bar,luxury-boutique
hotel-hotel-cailler,Hôtel Cailler,Charmey (Gruyère),4,false,63,688,Premium,10757981,upper_upscale,true,wellness retreat | gastronomic dining | charming alpine stay | family-friendly | business conferences | Spa,charming-wellness
hotel-hotel-chateau-douchy,Hôtel Château d'Ouchy,Lausanne,4,true,50,299,,3710590,upper_upscale,true,luxury accommodations | culinary experiences | wellness and relaxation | sustainable practices | events and meetings | Spa,luxury
hotel-hotel-chateau-guetsch,Hotel Château Gütsch,Luzern,4,true,37,299.92,,2754285,upper_upscale,true,luxury boutique | scenic views | culinary experiences | historical charm | Spa | Restaurant,upscale-boutique
hotel-hotel-chesa-grischuna,Hotel Chesa Grischuna,Klosters,4,false,20,490,Premium,2432360,upper_upscale,true,Mountain Elegance | Historic Authenticity | Glamorous Ski Retreat | Restaurant | Bar | Ski services,elegant-historic
hotel-hotel-coeur-des-alpes,Hotel Coeur des Alpes,Zermatt,4,false,22,838.89,Luxury,4580675,luxury,false,boutique accommodation | Zermatt location | elegant comfort | Spa | Boutique | Design,boutique-luxury
hotel-hotel-cordee-des-alpes,Hôtel Cordée des Alpes,Verbier,4,true,32,556.64,Premium,4421058,upper_upscale,true,"Luxury boutique accommodation | Spa and wellness retreat | Ski-in, ski-out access | Gourmet dining experience | Event hosting | Spa",luxury-boutique
hotel-hotel-coronado,Hotel Coronado,Mendrisio,4,false,108,344.75,Premium,9241231,upper_upscale,false,congress facilities | business meetings | culinary experiences | cultural and natural attractions | comfortable accommodations | Spa,business-conference
hotel-hotel-crystal-2,Hotel Crystal,St. Moritz,4,true,74,389.57,Premium,7155154,upper_upscale,true,Alpine luxury | Wellness retreat | Culinary experiences | Adventure tourism | Cultural exploration | Spa,understated-luxury
hotel-hotel-de-la-cigogne,Hôtel de la Cigogne,Genève,5,false,49,462.1,Premium,5619968,luxury,false,Spa | Swisstainable Livello II - engaged,luxury
hotel-hotel-de-rougemont-spa,Hôtel de Rougemont & Spa,Rougemont,4,true,33,456.4,Premium,3738190,upper_upscale,true,alpine wellness | sustainable tourism | traditional Swiss charm | Spa | Ski services | Excellent Cuisine,understated-luxury
hotel-hotel-de-verbier,Hôtel de Verbier,Verbier,4,true,31,480.85,Premium,3699756,upper_upscale,false,alpine hospitality | luxury spa | family-friendly | modern comfort | elegant dining | Spa,understated-luxury
hotel-hotel-des-innovations,Hôtel des Innovations,Marly,4,false,167,277.1,,11485629,business_conference,true,wellness | business | conference | Spa | Restaurant | Bar,contemporary-comfort
hotel-hotel-des-trois-couronnes,Hôtel des Trois Couronnes,Vevey,5,false,71,510.19,Premium,8990670,luxury,true,timeless elegance | lake views | fine dining | wellness retreat | historical exploration | Spa,understated-luxury
hotel-hotel-eden-spiez,Hotel Eden Spiez,Spiez,4,true,45,383.86,Premium,4098185,upper_upscale,true,Wellness | Culinary Experiences | Scenic Views | Spa | Restaurant | Bar,luxury-leisure
hotel-hotel-eden-wellness,Hotel Eden Wellness,Zermatt,4,false,30,558.27,Premium,4156878,upper_upscale,true,wellness | family-run | mountain retreat | Spa | Restaurant | Bar,family-leisure
hotel-hotel-firefly,Hotel Firefly,Zermatt,4,true,16,646.29,Premium,2566547,upper_upscale,false,luxury suites | personalized service | wellness and relaxation | family-friendly | pet-friendly | Spa,luxury-boutique
hotel-hotel-giardino-ascona,Hotel Giardino Ascona,Ascona,5,true,71,581.09,Premium,10240084,luxury,true,luxury retreat | fine dining | wellness | Mediterranean charm | serene environment | Spa,luxury
hotel-hotel-helmhaus,Hotel Helmhaus,Zürich,4,false,24,365.94,Premium,2179831,upper_upscale,true,boutique hotel | cultural experience | urban retreat | Spa | Family-friendly | Boutique,understated-luxury
hotel-hotel-kirchbuehl,Hotel Kirchbühl,Grindelwald,4,false,42,300.73,Premium,3134930,upper_upscale,false,nature-inspired retreat | panoramic views | culinary excellence | alpine wellness | active lifestyle | Spa,alpine-boutique
hotel-hotel-laaxerhof,Hotel Laaxerhof,Laax GR 2,4,false,89,321.92,Premium,7111148,upper_upscale,false,alpine relaxation | family-friendly | regional cuisine | active adventures | Spa | Restaurant,family-leisure
hotel-hotel-landhaus-2,Hotel Landhaus,Münster VS,4,false,31,330.07,Premium,2427582,upscale,true,alpine wellness | urban lifestyle | traditional hospitality | Ski services | Suites | Family-friendly,modern-design
hotel-hotel-laudinella,Hotel Laudinella,St. Moritz,4,false,185,266.5,,12236881,business_conference,true,Cultural hospitality | Stylish accommodations | Culinary experiences | Wellness and relaxation | Event venues | Nature experiences,upscale-boutique
hotel-hotel-le-chalet-dadrien,Hôtel Le Chalet d'Adrien,Verbier,5,true,27,406.37,Premium,2723248,luxury,false,luxury | wellness | gourmet dining | alpine views | comfortable hospitality | Spa,luxury
hotel-hotel-le-grand-chalet,Hotel Le Grand Chalet,Gstaad,4,false,23,356.15,Premium,2033118,upper_upscale,true,alpine retreat | boutique hospitality | fine dining | Restaurant | Excellent Cuisine | Hiking,alpine-boutique
